Simpoints,Weight,FDIP_PREFETCH_HIT_ICACHE_val,FDIP_PREFETCH_HIT_ICACHE_w_val,FDIP_PREFETCH_HIT_MLC_val,FDIP_PREFETCH_HIT_MLC_w_val,FDIP_PREFETCH_HIT_L1_val,FDIP_PREFETCH_HIT_L1_w_val,FDIP_PREFETCH_HIT_DRAM_val,FDIP_PREFETCH_HIT_DRAM_w_val
2264,44.9546,1963245,88256893.677,66711,2998966.3205999997,2341,105238.7186,4226,189978.1396
812,334.908,1303560,436572672.48,547639,183408682.212,2259,756557.172,89,29806.812
1358,97.2156,1571336,152758372.0416,139812,13591907.4672,34922,3394963.1832,7780,756337.368
1778,40.8635,1526786,62389819.711,0,0.0,9,367.7715,15,612.9525
828,45.4532,3310700,150481909.24,57,2590.8324000000002,593,26953.747600000002,1561,70952.4452
2213,8.07837,1429297,11546390.005889999,1,8.07837,0,0.0,216,1744.9279199999999
1726,65.5195,1358541,89010927.04949999,915,59950.34249999999,33,2162.1434999999997,1,65.5195
2054,37.2896,1469285,54789049.936,2712,101129.3952,22,820.3712,634,23641.6064
1903,16.1097,845347,13618286.5659,28,451.0716,110,1772.067,30,483.291
509,133.977,1356170,181695588.09,67056,8983961.712,30470,4082279.19,1116,149518.332
1751,10.0901,1373637,13860134.693699999,0,0.0,0,0.0,0,0.0
62,40.4224,1684942,68109399.5008,44086,1782061.9264000002,703,28416.947200000002,659,26638.361600000004
2151,40.7196,2893632,117827537.5872,9,366.4764,15,610.794,1548,63033.9408
239,98.774,1521899,150324051.826,3092,305409.208,10,987.74,2,197.548
1893,44.3029,714906,31672409.027400002,0,0.0,0,0.0,0,0.0
1305,111.513,1944921,216883975.47300002,179627,20030745.651,38668,4311984.684,17172,1914901.236
1673,34.2884,1639730,56223718.13200001,598,20504.463200000002,57,1954.4388000000001,44,1508.6896000000002
492,45.4197,1306206,59327484.658199996,57933,2631299.4801,25157,1142623.3928999999,1574,71490.6078
2249,320.874,2395502,768654308.748,266507,85515167.118,44161,14170116.714000002,945,303225.93000000005
264,17.7912,3520733,62638064.949599996,59080,1051104.096,42,747.2304,2161,38446.7832
2123,26.1783,1484315,38856843.3645,124,3246.1092,62,1623.0546,0,0.0
116,27.1629,2190122,59490064.8738,1665,45226.2285,3,81.4887,153,4155.9237
1159,18.1708,1874507,34061291.7956,159,2889.1572,76,1380.9808,2035,36977.578
1270,263.009,2939489,773112062.401,82411,21674834.699,11443,3009611.987,44761,11772545.849000001
2165,28.2044,1136692,32059715.8448,987,27837.7428,0,0.0,4,112.8176
1152,171.372,1830172,313640235.984,488,83629.53600000001,4405,754893.66,36,6169.392000000001
792,79.0312,1053929,83293273.5848,199290,15750127.848,122,9641.8064,87,6875.7144
1979,51.6033,1318772,68052987.1476,152,7843.701599999999,5521,284901.8193,2295,118429.5735
2185,56.1164,3551696,199308393.41439998,0,0.0,0,0.0,109,6116.6876

weighted_avg,NA,NA,4388515861.80329,NA,358079940.8732701,NA,32090691.1027,NA,15593968.026920004
weighted_%,NA,NA,0.9153648595998023,NA,0.07468898486976881,NA,0.006693536466702714,NA,0.0032526190637260266
weighted_total,4794280461.806181
