Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
2264,44.9546,775894018,34880005221.5828
812,334.908,718172543,240521730031.044
1358,97.2156,1165328231,113288083173.60359
1778,40.8635,2128683810,86985470869.935
828,45.4532,1901922434,86448460777.0888
2213,8.07837,871533702,7040571712.2257395
1726,65.5195,592340801,38809873111.1195
2054,37.2896,550897780,20542757857.088
1903,16.1097,752733296,12126307578.5712
509,133.977,2100199188,281378386610.676
1751,10.0901,702822281,7091547097.5181
62,40.4224,789073787,31896256247.628803
2151,40.7196,1823102906,74236021091.1576
239,98.774,524934828,51849912700.872
1893,44.3029,954726294,42297143530.4526
1305,111.513,1373897596,153207442622.74802
1673,34.2884,879956769,30172309678.179604
492,45.4197,1631287722,74092598946.9234
2249,320.874,744634601,238933882961.27402
264,17.7912,2822959416,50223835561.9392
2123,26.1783,1399010461,36623715551.1963
116,27.1629,1087427384,29537681288.8536
1159,18.1708,643424276,11691533834.3408
1270,263.009,1024939827,269568398959.44302
2165,28.2044,634528472,17896494835.6768
1152,171.372,724411853,124143908072.31601
792,79.0312,857933627,67803524062.1624
1979,51.6033,929151106,47947263268.249794
2185,56.1164,3007310633,168759446405.68118

weighted_avg,NA,NA,2449994563659.548
weighted_%,NA,NA,1.0
weighted_total,2449994563659.548
