Simpoints,Weight,FDIP_NEW_PREFETCHES_ONPATH_val,FDIP_NEW_PREFETCHES_ONPATH_w_val,FDIP_NEW_PREFETCHES_OFFPATH_val,FDIP_NEW_PREFETCHES_OFFPATH_w_val
2264,44.9546,37453,1683684.6338,21414,962657.8044
812,334.908,375221,125664514.66800001,96087,32180304.996000003
1358,97.2156,87369,8493629.7564,75557,7345319.089199999
1778,40.8635,4,163.454,23,939.8605
828,45.4532,497,22590.240400000002,1240,56361.968
2213,8.07837,10,80.7837,154,1244.06898
1726,65.5195,620,40622.09,96,6289.871999999999
2054,37.2896,1361,50751.1456,1544,57575.1424
1903,16.1097,54,869.9238,89,1433.7633
509,133.977,73302,9820782.054,9906,1327176.162
1751,10.0901,0,0.0,0,0.0
62,40.4224,31119,1257904.6656000002,8782,354989.51680000004
2151,40.7196,167,6800.1732,1052,42837.0192
239,98.774,2134,210783.71600000001,507,50078.418
1893,44.3029,0,0.0,0,0.0
1305,111.513,110294,12299214.822,96901,10805721.213000001
1673,34.2884,464,15909.817600000002,156,5348.990400000001
492,45.4197,53630,2435858.511,18685,848667.0945
2249,320.874,142490,45721336.260000005,142211,45631812.414000005
264,17.7912,39158,696667.8096,10048,178765.9776
2123,26.1783,124,3246.1092,49,1282.7367
116,27.1629,1210,32867.109000000004,199,5405.4171
1159,18.1708,165,2998.182,886,16099.3288
1270,263.009,38353,10087184.177000001,73547,19343522.923
2165,28.2044,726,20476.3944,51,1438.4243999999999
1152,171.372,2235,383016.42000000004,1591,272652.852
792,79.0312,154918,12243355.4416,4176,330034.2912
1979,51.6033,4861,250843.6413,1313,67755.1329
2185,56.1164,6,336.6984,109,6116.6876

weighted_avg,NA,NA,231446488.69759995,NA,119901831.16397998
weighted_%,NA,NA,0.6587379976337514,NA,0.3412620023662487
weighted_total,351348319.8615799
