Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2264,44.9546,2466,110858.0436,0,0.0
812,334.908,7918,2651801.544,0,0.0
1358,97.2156,9763,949115.9027999999,0,0.0
1778,40.8635,2,81.727,0,0.0
828,45.4532,251,11408.753200000001,0,0.0
2213,8.07837,7,56.54859,0,0.0
1726,65.5195,22,1441.4289999999999,0,0.0
2054,37.2896,198,7383.3408,0,0.0
1903,16.1097,10,161.097,0,0.0
509,133.977,2317,310424.70900000003,0,0.0
1751,10.0901,0,0.0,0,0.0
62,40.4224,486,19645.2864,0,0.0
2151,40.7196,95,3868.362,0,0.0
239,98.774,117,11556.558,0,0.0
1893,44.3029,0,0.0,0,0.0
1305,111.513,12849,1432830.537,0,0.0
1673,34.2884,95,3257.398,0,0.0
492,45.4197,2727,123859.52189999999,0,0.0
2249,320.874,16054,5151311.196,0,0.0
264,17.7912,1017,18093.6504,0,0.0
2123,26.1783,34,890.0622,0,0.0
116,27.1629,320,8692.128,0,0.0
1159,18.1708,94,1708.0552,0,0.0
1270,263.009,6743,1773469.6870000002,0,0.0
2165,28.2044,3,84.6132,0,0.0
1152,171.372,202,34617.144,0,0.0
792,79.0312,718,56744.4016,0,0.0
1979,51.6033,841,43398.3753,0,0.0
2185,56.1164,7,392.8148,0,0.0

weighted_avg,NA,NA,12727152.88599,NA,0.0
weighted_%,NA,NA,1.0,NA,0.0
weighted_total,12727152.88599
