Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2264,44.9546,403605,18143901.333
812,334.908,451240,151123885.92000002
1358,97.2156,2222065,216019382.214
1778,40.8635,890,36368.515
828,45.4532,179690,8167485.508
2213,8.07837,25265,204100.01804999998
1726,65.5195,1325,86813.3375
2054,37.2896,47950,1788036.32
1903,16.1097,9560,154008.732
509,133.977,434360,58194249.72
1751,10.0901,0,0.0
62,40.4224,97140,3926631.936
2151,40.7196,136195,5545805.922
239,98.774,7500,740805.0
1893,44.3029,0,0.0
1305,111.513,3562825,397301304.225
1673,34.2884,11170,383001.428
492,45.4197,572010,25980522.597
2249,320.874,2044505,656028497.37
264,17.7912,218005,3878570.556
2123,26.1783,5995,156938.9085
116,27.1629,29170,792341.7930000001
1159,18.1708,90225,1639460.43
1270,263.009,3271445,860419478.005
2165,28.2044,1585,44703.974
1152,171.372,42430,7271313.960000001
792,79.0312,45815,3620814.428
1979,51.6033,241585,12466583.2305
2185,56.1164,15010,842307.164

weighted_avg,NA,NA,2434957312.5445504
weighted_%,NA,NA,1.0
weighted_total,2434957312.5445504
