Simpoints,Weight,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_val,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_w_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_w_val
2264,44.9546,1054,47382.1484,8246,370695.6316
812,334.908,9135,3059384.58,56380,18882113.04
1358,97.2156,2390,232345.28399999999,45051,4379659.9956
1778,40.8635,0,0.0,40,1634.54
828,45.4532,5,227.26600000000002,1292,58725.534400000004
2213,8.07837,0,0.0,202,1631.8307399999999
1726,65.5195,0,0.0,8,524.156
2054,37.2896,26,969.5296,957,35686.1472
1903,16.1097,0,0.0,81,1304.8857
509,133.977,2023,271035.471,4586,614418.522
1751,10.0901,0,0.0,0,0.0
62,40.4224,782,31610.316800000004,1422,57480.6528
2151,40.7196,1,40.7196,1037,42226.2252
239,98.774,84,8297.016,210,20742.54
1893,44.3029,0,0.0,0,0.0
1305,111.513,2963,330413.01900000003,59224,6604245.9120000005
1673,34.2884,6,205.73040000000003,132,4526.0688
492,45.4197,1189,54004.0233,9896,449473.3512
2249,320.874,5158,1655068.0920000002,91323,29303176.302
264,17.7912,1105,19659.276,5733,101996.94959999999
2123,26.1783,0,0.0,24,628.2792
116,27.1629,139,3775.6431000000002,220,5975.838
1159,18.1708,2,36.3416,765,13900.662
1270,263.009,960,252488.64,53345,14030215.105
2165,28.2044,85,2397.374,0,0.0
1152,171.372,48,8225.856,598,102480.456
792,79.0312,3591,283801.0392,880,69547.456
1979,51.6033,101,5211.9333,592,30549.153599999998
2185,56.1164,0,0.0,170,9539.788

weighted_avg,NA,NA,6266579.299299998,NA,75193099.02264002
weighted_%,NA,NA,0.07692860355443097,NA,0.923071396445569
weighted_total,81459678.32194002
