Simpoints,Weight,NODE_CYCLE_val,NODE_CYCLE_w_val
2264,44.9546,4332057,194745889.6122
812,334.908,3909662,1309377081.096
1358,97.2156,5682755,552452436.9779999
1778,40.8635,10684248,436595768.148
828,45.4532,9864640,448379454.84800005
2213,8.07837,4737607,38272142.260589994
1726,65.5195,2988243,195788187.23849997
2054,37.2896,2862427,106738757.8592
1903,16.1097,3133337,50477119.068900004
509,133.977,9582991,1283900385.207
1751,10.0901,3664784,36978037.0384
62,40.4224,3928956,158817831.0144
2151,40.7196,9277922,377793272.6712
239,98.774,2948129,291198493.846
1893,44.3029,3571646,158234275.5734
1305,111.513,7030223,783961257.399
1673,34.2884,3962941,135882906.18440002
492,45.4197,7386380,335487163.686
2249,320.874,4601840,1476610808.16
264,17.7912,16049446,285538903.6752
2123,26.1783,10950623,286668694.0809
116,27.1629,6207075,168602157.5175
1159,18.1708,3857247,70089263.7876
1270,263.009,5897600,1551121878.4
2165,28.2044,3277753,92447056.7132
1152,171.372,3782480,648211162.5600001
792,79.0312,4200092,331938310.8704
1979,51.6033,4506685,232559818.0605
2185,56.1164,15928420,893845588.0879999

weighted_avg,NA,NA,12932714101.642485
weighted_%,NA,NA,1.0
weighted_total,12932714101.642485
