Simpoints,Weight,ICACHE_HIT_val,ICACHE_HIT_w_val,ICACHE_MISS_val,ICACHE_MISS_w_val
2264,44.9546,1648366,74101634.1836,3697,166197.1562
812,334.908,1636910,548214254.28,7898,2645103.384
1358,97.2156,1414151,137477537.9556,15363,1493523.2628
1778,40.8635,1418670,57971821.545,30,1225.905
828,45.4532,2657144,120775697.66080001,560,25453.792
2213,8.07837,1257329,10157168.87373,82,662.42634
1726,65.5195,1214027,79542442.02649999,29,1900.0654999999997
2054,37.2896,1418624,52899921.5104,427,15922.6592
1903,16.1097,835764,13463907.310800001,38,612.1686
509,133.977,1357862,181922277.174,6204,831193.3080000001
1751,10.0901,1291117,13027499.6417,0,0.0
62,40.4224,1550648,62680913.71520001,648,26193.715200000002
2151,40.7196,2245534,91437246.2664,364,14821.9344
239,98.774,1440488,142282761.712,63,6222.762
1893,44.3029,697868,30917576.2172,1,44.3029
1305,111.513,1716990,191466705.87,21049,2347237.137
1673,34.2884,1528990,52426620.716000006,56,1920.1504000000002
492,45.4197,1239256,56286635.7432,5879,267022.4163
2249,320.874,1935891,621177088.7340001,24544,7875531.456
264,17.7912,2875370,51156282.744,1186,21100.3632
2123,26.1783,1363709,35699583.3147,106,2774.8998
116,27.1629,1297578,35245981.4562,87,2363.1723
1159,18.1708,1561336,28370724.1888,408,7413.6864
1270,263.009,2185583,574827999.247,18419,4844362.771000001
2165,28.2044,1061148,29929042.6512,8,225.6352
1152,171.372,1542976,264422883.07200003,606,103851.43200000002
792,79.0312,1208956,95545243.4272,128,10115.9936
1979,51.6033,1187570,61282530.981,1288,66465.0504
2185,56.1164,2644339,148390785.0596,37,2076.3068

weighted_avg,NA,NA,3863100767.2778296,NA,20781537.312540002
weighted_%,NA,NA,0.9946492875729065,NA,0.00535071242709344
weighted_total,3883882304.5903697
