Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2264,44.9546,2075,93280.795,0,0.0
812,334.908,6777,2269671.5160000003,0,0.0
1358,97.2156,10186,990238.1015999999,0,0.0
1778,40.8635,19,776.4065,0,0.0
828,45.4532,240,10908.768,0,0.0
2213,8.07837,7,56.54859,0,0.0
1726,65.5195,21,1375.9094999999998,0,0.0
2054,37.2896,208,7756.2368,0,0.0
1903,16.1097,17,273.8649,0,0.0
509,133.977,5422,726423.294,0,0.0
1751,10.0901,0,0.0,0,0.0
62,40.4224,392,15845.580800000002,0,0.0
2151,40.7196,96,3909.0816,0,0.0
239,98.774,37,3654.638,0,0.0
1893,44.3029,1,44.3029,0,0.0
1305,111.513,13290,1482007.77,0,0.0
1673,34.2884,33,1131.5172,0,0.0
492,45.4197,4573,207704.2881,0,0.0
2249,320.874,17056,5472826.944,0,0.0
264,17.7912,592,10532.3904,0,0.0
2123,26.1783,74,1937.1942,0,0.0
116,27.1629,37,1005.0273,0,0.0
1159,18.1708,106,1926.1048,0,0.0
1270,263.009,7009,1843430.081,0,0.0
2165,28.2044,3,84.6132,0,0.0
1152,171.372,415,71119.38,0,0.0
792,79.0312,115,9088.588,0,0.0
1979,51.6033,1007,51964.5231,0,0.0
2185,56.1164,5,280.582,0,0.0

weighted_avg,NA,NA,13279254.04749,NA,0.0
weighted_%,NA,NA,1.0,NA,0.0
weighted_total,13279254.04749
