Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
2264,44.9546,4111,184808.36059999999,2252,101237.7592
812,334.908,42742,14314637.736000001,3711,1242843.588
1358,97.2156,29936,2910246.2016,6376,619846.6656
1778,40.8635,25,1021.5875000000001,12,490.362
828,45.4532,454,20635.752800000002,313,14226.8516
2213,8.07837,65,525.0940499999999,54,436.23197999999996
1726,65.5195,78,5110.521,19,1244.8705
2054,37.2896,440,16407.424,192,7159.6032
1903,16.1097,24,386.6328,7,112.7679
509,133.977,5174,693196.998,332,44480.364
1751,10.0901,0,0.0,0,0.0
62,40.4224,2761,111606.2464,251,10146.022400000002
2151,40.7196,330,13437.468,260,10587.096
239,98.774,231,22816.794,45,4444.83
1893,44.3029,0,0.0,0,0.0
1305,111.513,38733,4319233.029,8157,909611.5410000001
1673,34.2884,519,17795.679600000003,75,2571.63
492,45.4197,6803,308990.2191,980,44511.306
2249,320.874,60409,19383677.466000002,12700,4075099.8000000003
264,17.7912,3811,67802.2632,929,16528.0248
2123,26.1783,46,1204.2018,20,523.566
116,27.1629,265,7198.1685,206,5595.5574
1159,18.1708,239,4342.8212,206,3743.1848
1270,263.009,23105,6076822.945,12702,3340740.318
2165,28.2044,2,56.4088,0,0.0
1152,171.372,304,52097.088,148,25363.056
792,79.0312,5666,447790.7792,89,7033.7768
1979,51.6033,381,19660.8573,65,3354.2145
2185,56.1164,38,2132.4232,29,1627.3755999999998

weighted_avg,NA,NA,49003641.16664999,NA,10493560.36328
weighted_%,NA,NA,0.8236293456928184,NA,0.17637065430718163
weighted_total,59497201.52992999
