Simpoints,Weight,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_w_val
2264,44.9546,48,2157.8208,371,16678.1566
812,334.908,0,0.0,0,0.0
1358,97.2156,0,0.0,0,0.0
1778,40.8635,1,40.8635,0,0.0
828,45.4532,26,1181.7832,51,2318.1132000000002
2213,8.07837,7,56.54859,12,96.94044
1726,65.5195,0,0.0,0,0.0
2054,37.2896,27,1006.8192,74,2759.4304
1903,16.1097,0,0.0,0,0.0
509,133.977,15,2009.655,2,267.954
1751,10.0901,0,0.0,0,0.0
62,40.4224,16,646.7584,54,2182.8096
2151,40.7196,3,122.1588,105,4275.558
239,98.774,2,197.548,0,0.0
1893,44.3029,0,0.0,0,0.0
1305,111.513,13,1449.669,0,0.0
1673,34.2884,1,34.2884,3,102.86520000000002
492,45.4197,3,136.2591,0,0.0
2249,320.874,52,16685.448,78,25028.172000000002
264,17.7912,28,498.1536,122,2170.5264
2123,26.1783,0,0.0,0,0.0
116,27.1629,3,81.4887,10,271.629
1159,18.1708,16,290.7328,40,726.832
1270,263.009,297,78113.67300000001,1076,282997.684
2165,28.2044,0,0.0,0,0.0
1152,171.372,3,514.116,0,0.0
792,79.0312,0,0.0,0,0.0
1979,51.6033,2,103.2066,0,0.0
2185,56.1164,1,56.1164,8,448.9312

weighted_avg,NA,NA,105383.10709000002,NA,340325.60204
weighted_%,NA,NA,0.23643941644241662,NA,0.7635605835575834
weighted_total,445708.70913000003
