Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
2264,44.9546,186876070,8400938976.422
812,334.908,205686519,68886060705.252
1358,97.2156,291326522,28321482632.1432
1778,40.8635,671656142,27446220758.617
828,45.4532,445164932,20234170687.1824
2213,8.07837,269837670,2179848538.1979
1726,65.5195,170527062,11172847838.709
2054,37.2896,171125333,6381195217.4368
1903,16.1097,197067545,3174699029.6865
509,133.977,582515651,78043699374.02701
1751,10.0901,222371867,2243754375.2167
62,40.4224,220659256,8919576709.7344
2151,40.7196,454242125,18496557633.15
239,98.774,167481048,16542773035.152
1893,44.3029,226685740,10042835670.646
1305,111.513,359891052,40132530881.676
1673,34.2884,230533862,7904637273.8008
492,45.4197,430879419,19570413947.1543
2249,320.874,142284493,45655394406.882
264,17.7912,857077142,15248430848.7504
2123,26.1783,532617563,13943022349.4829
116,27.1629,304665154,8275589111.5866
1159,18.1708,186877064,3395705754.5312
1270,263.009,202148706,53166929016.354004
2165,28.2044,200661501,5659537238.8043995
1152,171.372,173801421,29784697119.612003
792,79.0312,258528975,20431855129.02
1979,51.6033,262663218,13554288837.4194
2185,56.1164,788287507,44235857057.8148

weighted_avg,NA,NA,631445550154.4618
weighted_%,NA,NA,1.0
weighted_total,631445550154.4618
