Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
2264,44.9546,1152645,51816694.916999996,1385849,62300287.4554
812,334.908,1047481,350809766.748,593449,198750817.692
1358,97.2156,930726,90481086.5256,1251466,121662018.0696
1778,40.8635,1379346,56364905.271000005,310958,12706832.233000001
828,45.4532,1162103,52821300.07960001,3614242,164278864.4744
2213,8.07837,1190567,9617840.73579,372951,3012836.16987
1726,65.5195,1229157,80533752.0615,226117,14815072.781499999
2054,37.2896,1401671,52267750.9216,121832,4543066.5472
1903,16.1097,822105,13243864.9185,41528,669003.6216
509,133.977,1054273,141248333.72100002,520217,69697113.009
1751,10.0901,1324000,13359292.4,102341,1032630.9241
62,40.4224,1388934,56144045.7216,517985,20938196.864
2151,40.7196,1324105,53917025.958,2726750,111032169.3
239,98.774,1447753,143000354.822,128310,12673691.94
1893,44.3029,673126,29821433.8654,67964,3011002.2956000003
1305,111.513,1104191,123131650.98300001,1629196,181676533.548
1673,34.2884,1380688,47341582.4192,433728,14871839.1552
492,45.4197,908666,41271337.1202,682496,30998763.5712
2249,320.874,1182593,379463346.282,2313064,742202097.9360001
264,17.7912,1310983,23323960.7496,3674095,65366558.964
2123,26.1783,1109160,29035923.228,533318,13961358.5994
116,27.1629,1251906,34005397.4874,1468985,39901892.656500004
1159,18.1708,1384760,25162197.008,849455,15435276.913999999
1270,263.009,1262350,332009411.15000004,2839153,746722791.3770001
2165,28.2044,1107398,31233496.1512,53371,1505297.0324
1152,171.372,1166297,199870649.48400003,1186126,203268784.872
792,79.0312,996474,78752535.9888,99980,7901539.376
1979,51.6033,1052757,54325735.298099995,480114,24775466.7762
2185,56.1164,1107868,62169563.8352,3901237,218923375.9868

weighted_avg,NA,NA,2656544235.8512897,NA,3108635180.141971
weighted_%,NA,NA,0.4607912510895558,NA,0.5392087489104441
weighted_total,5765179415.993261
