Simpoints,Weight,ICACHE_HIT_val,ICACHE_HIT_w_val,ICACHE_MISS_val,ICACHE_MISS_w_val
2264,44.9546,1648074,74088507.4404,4038,181526.6748
812,334.908,1637407,548380703.556,8625,2888581.5
1358,97.2156,1416085,137665552.926,14438,1403598.8328
1778,40.8635,1418875,57980198.5625,3,122.5905
828,45.4532,2655028,120679518.6896,562,25544.6984
2213,8.07837,1257163,10155827.86431,71,573.56427
1726,65.5195,1214027,79542442.02649999,24,1572.4679999999998
2054,37.2896,1418667,52901524.9632,407,15176.8672
1903,16.1097,835774,13464068.4078,23,370.5231
509,133.977,1358354,181988193.858,1943,260317.31100000002
1751,10.0901,1291348,13029830.4548,0,0.0
62,40.4224,1551390,62710907.13600001,720,29104.128
2151,40.7196,2244965,91414076.814,323,13152.4308
239,98.774,1440480,142281971.52,133,13136.942000000001
1893,44.3029,697855,30917000.2795,0,0.0
1305,111.513,1717393,191511645.609,20001,2230371.5130000003
1673,34.2884,1528826,52420997.418400005,109,3737.4356000000002
492,45.4197,1240367,56337097.0299,3205,145570.1385
2249,320.874,1939079,622200035.046,22813,7320098.562000001
264,17.7912,2874243,51136232.0616,1545,27487.404
2123,26.1783,1359746,35595838.7118,56,1465.9848
116,27.1629,1296723,35222757.1767,360,9778.644
1159,18.1708,1561275,28369615.77,361,6559.6588
1270,263.009,2189487,575854786.383,16676,4385938.084
2165,28.2044,1061222,29931129.7768,4,112.8176
1152,171.372,1543006,264428024.23200002,264,45242.208000000006
792,79.0312,1208882,95539395.1184,702,55479.9024
1979,51.6033,1187715,61290013.4595,867,44740.0611
2185,56.1164,2643024,148316991.9936,45,2525.238

weighted_avg,NA,NA,3865354884.28531,NA,19111886.18267
weighted_%,NA,NA,0.9950799202794139,NA,0.004920079720586078
weighted_total,3884466770.46798
