Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2264,44.9546,7524,338238.4104
812,334.908,35553,11906984.124
1358,97.2156,23388,2273678.4528
1778,40.8635,24,980.724
828,45.4532,837,38044.3284
2213,8.07837,129,1042.10973
1726,65.5195,10,655.1949999999999
2054,37.2896,712,26550.1952
1903,16.1097,66,1063.2402
509,133.977,5370,719456.49
1751,10.0901,0,0.0
62,40.4224,1951,78864.1024
2151,40.7196,719,29277.3924
239,98.774,191,18865.834
1893,44.3029,0,0.0
1305,111.513,29451,3284169.3630000004
1673,34.2884,103,3531.7052000000003
492,45.4197,7276,330473.7372
2249,320.874,44990,14436121.260000002
264,17.7912,4613,82070.80559999999
2123,26.1783,23,602.1009
116,27.1629,302,8203.1958
1159,18.1708,528,9594.1824
1270,263.009,38733,10187127.597000001
2165,28.2044,85,2397.374
1152,171.372,476,81573.072
792,79.0312,4205,332326.196
1979,51.6033,358,18473.9814
2185,56.1164,105,5892.222

weighted_avg,NA,NA,44216257.391030006
weighted_%,NA,NA,1.0
weighted_total,44216257.391030006
