cf_type,addr,target,bpu_hit_uc_hit,bpu_hit_uc_miss,mispred_uc_hit,mispred_uc_miss,misfetch_uc_hit,misfetch_uc_miss,btb_miss_uc_hit,btb_miss_uc_miss,other_recovery_uc_hit,other_recovery_uc_miss,recover_redirect_extra_fetch_latency
1,7ffda9e779aa,7ffda9e78be0,0,30,0,0,0,0,0,1,0,0,2
2,7ffda9e775bd,0,0,10,0,0,0,0,0,0,0,0,0
2,7ffda9e775c9,7ffda9e776a5,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9e775c3,0,0,10,0,0,0,0,0,0,0,0,0
2,7ffda9e77902,7ffda9e77990,0,30,0,0,0,0,0,1,0,0,2
7,7ffda9e7e0ab,7ffda9e7ded9,0,40,0,0,0,0,0,0,0,0,0
2,7ffda9e774b1,7ffda9e775b5,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9e778b3,7ffda9e778ba,0,30,0,1,0,0,0,1,0,0,4
2,7ffda9e778c8,0,0,30,0,0,0,0,0,0,0,0,0
7,7ffda9e5e4c0,7ffdaa045945,0,10,0,0,0,0,0,0,0,0,0
7,7ffda9e7e0db,7ffda9e6b0a2,0,30,0,0,0,0,0,0,0,0,0
7,7ffda9e7e3ef,7ffda9e80ffb,0,10,0,0,0,0,0,0,0,0,0
2,7ffda9e773cc,0,0,10,0,0,0,0,0,0,0,0,0
2,7ffda9e7772d,0,0,30,0,0,0,0,0,0,0,0,0
3,7ffda9e77723,7ffda9e42790,0,30,0,0,0,0,0,1,0,0,2
1,7ffda9e77738,7ffda9e77753,0,30,0,0,0,0,0,1,0,0,2
2,7ffda9e7777f,7ffda9e778ab,0,30,0,0,0,0,0,1,0,0,2
3,7ffda9e77773,7ffda9e778e0,0,30,0,0,0,0,0,1,0,0,2
2,7ffda9e7731c,7ffda9e773c8,0,10,0,0,0,0,0,1,0,0,2
7,7ffda9f76f1f,7ffda9f74c94,0,20,0,0,0,0,0,0,0,0,0
2,7ffda9e7775e,0,0,30,0,0,0,0,0,1,0,0,2
2,7ffda9e776e2,0,0,30,0,0,0,0,0,0,0,0,0
2,7ffda9e772cd,7ffda9e772e0,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9e7728f,7ffda9e772ca,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9e7721e,7ffda9e7725d,0,10,0,2,0,0,0,1,0,0,6
2,7ffda9e5e4a9,0,0,10,0,0,0,0,0,0,0,0,0
3,7ffda9e7e0cb,7ffda9e7de40,0,30,0,0,0,0,0,1,0,0,2
7,7ffda9e778d8,7ffda9e8582d,0,30,0,0,0,0,0,0,0,0,0
2,7ffda9e7e00d,0,0,40,0,0,0,0,0,0,0,0,0
7,7ffda9e77407,7ffda9e721a2,0,10,0,0,0,0,0,0,0,0,0
2,7ffda9e7e013,7ffda9e7e0a6,0,40,0,0,0,0,0,1,0,0,2
2,7ffda9e7e3a2,7ffda9e7e3d1,0,10,0,0,0,0,0,4,0,0,8
3,7ffda9e7e39a,7ffda9e72390,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9e7e3df,0,0,10,0,0,0,0,0,0,0,0,0
2,7ffda9f76eab,7ffda9f76f04,0,20,0,0,0,0,0,1,0,0,2
2,7ffda9e7e2aa,0,0,10,0,0,0,0,0,0,0,0,0
7,7ffda9e776ac,7ffda9e7264c,0,10,0,0,0,0,0,0,0,0,0
7,7ffda9e772fe,7ffda9e726ac,0,10,0,0,0,0,0,0,0,0,0
1,7ffda9e7e2b4,7ffda9e7e2bd,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9e7e2c5,0,0,10,0,0,0,0,0,0,0,0,0
2,7ffda9f76ec7,0,0,20,0,0,0,0,0,0,0,0,0
1,7ffda9e7e2db,7ffda9e7e379,0,10,0,0,0,0,0,1,0,0,2
2,7ffda9f76ed0,7ffda9f76ea4,0,20,0,0,0,0,0,1,0,0,2
2,7ffda9e7e2d5,0,0,10,0,0,0,0,0,0,0,0,0
1,7ffda9f76e7f,7ffda9f76ead,0,20,0,0,0,0,0,1,0,0,2
2,7ffda9f76e45,0,0,20,0,0,0,0,0,0,0,0,0
2,7ffda9f76e53,0,0,20,0,0,0,0,0,0,0,0,0
2,7ffda9f75de2,0,0,51,0,0,0,0,0,0,0,0,0
7,7ffda9ed459f,7ffda9f05d84,0,10,0,0,0,0,0,0,0,0,0
2,7ffda9f75167,7ffda9f75177,0,20,0,0,0,0,0,1,0,0,2
2,7ffda9f75134,7ffda9f75142,0,20,0,0,0,0,0,1,0,0,2
2,7ffda9f75149,0,0,20,0,0,0,0,0,0,0,0,0
2,7ffda9f75115,0,0,20,0,0,0,0,0,0,0,0,0
7,7ffda9ed44a3,7ffdaa0e1753,0,51,0,0,0,0,0,0,0,0,0
7,7ffda9f74cc0,7ffda9f74fef,0,20,0,0,0,0,0,0,0,0,0
2,7ffda9f75080,0,0,20,0,0,0,0,0,1,0,0,2
1,7ffda9f75085,7ffda9f750c9,0,20,0,0,0,0,0,1,0,0,2
2,7ffda9f750da,0,0,20,0,0,0,0,0,0,0,0,0
2,7ffda9f7502b,0,0,20,0,0,0,0,0,0,0,0,0
2,7ffda9f7506a,0,0,20,0,0,0,0,0,0,0,0,0
2,7ffda9f7502f,0,0,20,0,0,0,0,0,0,0,0,0
