cf_type,addr,target,bpu_hit_uc_hit,bpu_hit_uc_miss,mispred_uc_hit,mispred_uc_miss,misfetch_uc_hit,misfetch_uc_miss,btb_miss_uc_hit,btb_miss_uc_miss,other_recovery_uc_hit,other_recovery_uc_miss,recover_redirect_extra_fetch_latency
1,7ffdac67f9ae,7ffdac67fad9,0,24,0,0,0,0,0,1,0,0,2
2,7ffda9cdf1ea,7ffda9cdf1fe,0,5,0,2,0,0,0,2,0,0,8
3,7ffdac67f9a7,7ffdac67f810,0,24,0,0,0,0,0,8,0,0,16
2,7ffdac4d75a7,7ffdac4d7415,0,21,0,2,0,0,0,1,0,0,6
3,7ffdac4d75a0,7ffdaa34b3d0,0,21,0,0,0,0,0,2,0,0,4
7,7ffdaaff69a6,7ffdaafdb908,0,2,0,0,0,0,0,0,0,0,0
2,7ffdac67f9bc,7ffdac67fa12,0,1,0,0,0,0,0,1,0,0,2
2,7ffdac4ffdbf,0,0,89,0,0,0,0,0,0,0,0,0
2,7ffdac4df9ff,0,0,127,0,0,0,0,0,0,0,0,0
1,7ffdac4f75f5,7ffdac4f7641,0,50,0,0,0,0,0,1,0,0,2
3,7ffdac4f75b7,7ffdaa33b780,0,50,0,0,0,0,0,6,0,0,12
3,7ffdac4d7d8c,7ffdac4e57b0,0,1,0,0,0,0,0,1,0,0,2
3,7ffdac4ffdc9,7ffda9cbe3d0,0,89,0,0,0,0,0,7,0,0,14
2,7ffdac4d7589,0,0,21,0,0,0,0,0,0,0,0,0
3,7ffda9cdf18f,7ffda9c14150,0,5,0,0,0,0,0,1,0,0,2
2,7ffdac4d75c1,7ffdac4d7420,0,12,0,1,0,0,0,7,0,0,16
3,7ffda9cdf1c6,7ffda9b334c0,0,5,0,0,0,0,0,5,0,0,10
2,7ffdac4f719c,7ffdac4f7208,0,50,0,0,0,0,0,31,0,0,62
3,7ffda9cdf1db,7ffda9cdf250,0,5,0,0,0,0,0,1,0,0,2
2,7ffdac4ffddf,0,0,89,0,0,0,0,0,0,0,0,0
2,7ffdac67f99f,7ffdac67f9b3,0,25,0,0,0,0,0,1,0,0,2
3,7ffdac67f998,7ffdab63ef30,0,25,0,0,0,0,0,7,0,0,14
2,7ffdac4d7d94,0,0,1,0,0,0,0,0,1,0,0,2
