Simpoints,Weight,FDIP_NEW_PREFETCHES_ONPATH_val,FDIP_NEW_PREFETCHES_ONPATH_w_val,FDIP_NEW_PREFETCHES_OFFPATH_val,FDIP_NEW_PREFETCHES_OFFPATH_w_val
2264,44.9546,37460,1683999.3159999999,19687,885021.2102
812,334.908,373536,125100194.68800001,88499,29639023.092
1358,97.2156,85477,8309697.8412,62756,6100862.1936
1778,40.8635,4,163.454,23,939.8605
828,45.4532,482,21908.4424,967,43953.2444
2213,8.07837,10,80.7837,95,767.44515
1726,65.5195,619,40556.570499999994,89,5831.2355
2054,37.2896,1283,47842.5568,1149,42845.7504
1903,16.1097,53,853.8141,81,1304.8857
509,133.977,72948,9773354.196,9353,1253086.881
1751,10.0901,0,0.0,0,0.0
62,40.4224,31084,1256489.8816000002,8509,343954.20160000003
2151,40.7196,190,7736.724,691,28137.2436
239,98.774,2134,210783.71600000001,507,50078.418
1893,44.3029,0,0.0,0,0.0
1305,111.513,107665,12006047.145000001,79714,8889147.282
1673,34.2884,445,15258.338000000002,121,4148.8964000000005
492,45.4197,53406,2425684.4982,17653,801793.9641
2249,320.874,139133,44644162.242000006,115739,37137635.886
264,17.7912,38955,693056.196,9086,161650.8432
2123,26.1783,124,3246.1092,47,1230.3801
116,27.1629,1203,32676.9687,159,4318.9011
1159,18.1708,181,3288.9148,790,14354.932
1270,263.009,37522,9868623.698,54960,14454974.64
2165,28.2044,725,20448.19,51,1438.4243999999999
1152,171.372,2219,380274.46800000005,1569,268882.668
792,79.0312,154872,12239720.0064,4175,329955.26
1979,51.6033,4808,248108.6664,1265,65278.174499999994
2185,56.1164,5,280.582,63,3535.3332

weighted_avg,NA,NA,229034538.00699997,NA,100534151.24665
weighted_%,NA,NA,0.6949523588714622,NA,0.30504764112853777
weighted_total,329568689.25364995
