Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
2264,44.9546,33658,1513081.9268,13922,625857.9412
812,334.908,356866,119517278.32800001,52665,17637929.82
1358,97.2156,72550,7052991.779999999,35828,3483040.5168
1778,40.8635,1,40.8635,3,122.5905
828,45.4532,175,7954.31,378,17181.3096
2213,8.07837,3,24.23511,40,323.1348
1726,65.5195,595,38984.10249999999,86,5634.677
2054,37.2896,1039,38743.8944,664,24760.2944
1903,16.1097,41,660.4977,44,708.8268
509,133.977,64927,8698724.679,5641,755764.257
1751,10.0901,0,0.0,0,0.0
62,40.4224,29625,1197513.6,7276,294113.3824
2151,40.7196,44,1791.6624,260,10587.096
239,98.774,1947,192312.978,392,38719.408
1893,44.3029,0,0.0,1,44.3029
1305,111.513,91326,10184036.238,44745,4989649.1850000005
1673,34.2884,337,11555.1908,51,1748.7084000000002
492,45.4197,47423,2153938.4331,10346,469912.21619999997
2249,320.874,117567,37724193.558000006,64337,20644070.538000003
264,17.7912,36773,654235.7976,5255,93492.756
2123,26.1783,72,1884.8376,24,628.2792
116,27.1629,771,20942.5959,11,298.7919
1159,18.1708,67,1217.4436,360,6541.488
1270,263.009,28957,7615951.613000001,26979,7095719.811000001
2165,28.2044,637,17966.2028,54,1523.0375999999999
1152,171.372,1789,306584.50800000003,1042,178569.624
792,79.0312,150518,11895618.1616,3516,277873.6992
1979,51.6033,3606,186081.4998,741,38238.0453
2185,56.1164,0,0.0,27,1515.1428

weighted_avg,NA,NA,209034308.93721002,NA,56694568.88
weighted_%,NA,NA,0.7866450596348089,NA,0.21335494036519112
weighted_total,265728877.81721002
