Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
2264,44.9546,47580,2138939.868,59976,2696197.0896
812,334.908,409531,137155208.148,110935,37153018.980000004
1358,97.2156,108378,10536032.296799999,107814,10481202.6984
1778,40.8635,4,163.454,41,1675.4035000000001
828,45.4532,553,25135.6196,2388,108542.24160000001
2213,8.07837,43,347.36991,451,3643.34487
1726,65.5195,681,44618.7795,793,51956.9635
2054,37.2896,1703,63504.1888,3450,128649.12
1903,16.1097,85,1369.3245,238,3834.1086
509,133.977,70568,9454488.936,22192,2973217.5840000003
1751,10.0901,0,0.0,8,80.7208
62,40.4224,36901,1491626.9824,20373,823525.5552000001
2151,40.7196,304,12378.7584,2911,118534.7556
239,98.774,2339,231032.386,1140,112602.36
1893,44.3029,1,44.3029,18,797.4522000000001
1305,111.513,136071,15173685.423,131533,14667639.429000001
1673,34.2884,388,13303.899200000002,307,10526.5388
492,45.4197,57769,2623850.6493,38299,1739529.0903
2249,320.874,181904,58368264.096,153190,49154688.06
264,17.7912,42028,747728.5536,27836,495235.8432
2123,26.1783,96,2513.1168,48,1256.5584
116,27.1629,782,21241.3878,294,7985.8926
1159,18.1708,427,7758.9316,4710,85584.468
1270,263.009,55936,14711671.424,163490,42999341.410000004
2165,28.2044,691,19489.2404,249,7022.8956
1152,171.372,2831,485154.13200000004,5249,899531.628
792,79.0312,154034,12173491.8608,14975,1183492.22
1979,51.6033,4347,224319.5451,1531,79004.6523
2185,56.1164,27,1515.1428,352,19752.9728

weighted_avg,NA,NA,265728877.81721002,NA,166008070.03686997
weighted_%,NA,NA,0.6154879241584439,NA,0.38451207584155617
weighted_total,431736947.85407996
