Simpoints,Weight,ICACHE_MISS_NOT_PREFETCHED_val,ICACHE_MISS_NOT_PREFETCHED_w_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_w_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_w_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_w_val
2264,44.9546,45,2022.9569999999999,0,0.0,0,0.0,91,4090.8686,4509,202700.2914
812,334.908,4,1339.632,0,0.0,0,0.0,455,152383.14,8649,2896619.2920000004
1358,97.2156,10,972.156,0,0.0,0,0.0,1727,167891.3412,13297,1292675.8332
1778,40.8635,0,0.0,0,0.0,0,0.0,0,0.0,4,163.454
828,45.4532,2,90.9064,0,0.0,0,0.0,31,1409.0492000000002,586,26635.575200000003
2213,8.07837,0,0.0,0,0.0,0,0.0,5,40.39185,48,387.76176
1726,65.5195,1,65.5195,0,0.0,0,0.0,0,0.0,29,1900.0654999999997
2054,37.2896,2,74.5792,0,0.0,0,0.0,7,261.0272,440,16407.424
1903,16.1097,0,0.0,0,0.0,0,0.0,0,0.0,32,515.5104
509,133.977,15,2009.655,0,0.0,0,0.0,594,79582.338,6437,862409.949
1751,10.0901,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
62,40.4224,2,80.8448,0,0.0,0,0.0,11,444.6464,921,37229.0304
2151,40.7196,7,285.0372,0,0.0,0,0.0,14,570.0744,385,15677.046
239,98.774,0,0.0,0,0.0,0,0.0,0,0.0,133,13136.942000000001
1893,44.3029,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1305,111.513,17,1895.721,0,0.0,0,0.0,2395,267073.635,17442,1945009.746
1673,34.2884,0,0.0,0,0.0,0,0.0,0,0.0,131,4491.780400000001
492,45.4197,29,1317.1713,0,0.0,0,0.0,405,18394.9785,5862,266250.2814
2249,320.874,40,12834.960000000001,0,0.0,0,0.0,2567,823683.5580000001,20859,6693110.766000001
264,17.7912,402,7152.0624,0,0.0,0,0.0,49,871.7687999999999,1515,26953.668
2123,26.1783,0,0.0,0,0.0,0,0.0,0,0.0,54,1413.6282
116,27.1629,0,0.0,0,0.0,0,0.0,1,27.1629,345,9371.2005
1159,18.1708,3,54.5124,0,0.0,0,0.0,24,436.0992,351,6377.9508
1270,263.009,704,185158.336,0,0.0,0,0.0,2604,684875.436,14395,3786014.555
2165,28.2044,1,28.2044,0,0.0,0,0.0,0,0.0,4,112.8176
1152,171.372,24,4112.928,0,0.0,0,0.0,18,3084.6960000000004,609,104365.54800000001
792,79.0312,1,79.0312,0,0.0,0,0.0,0,0.0,833,65832.9896
1979,51.6033,58,2992.9914,0,0.0,0,0.0,57,2941.3880999999997,1421,73328.28929999999
2185,56.1164,0,0.0,0,0.0,0,0.0,0,0.0,32,1795.7248

weighted_avg,NA,NA,222567.2052,NA,0.0,NA,0.0,NA,2208061.5993500003,NA,18350887.12046
weighted_%,NA,NA,0.010709863804119616,NA,0.0,NA,0.0,NA,0.10625122860708429,NA,0.8830389075887961
weighted_total,20781515.92501
