Core, 0
Cumulative Cycles, 9305616             
Cumulative Instructions, 20000000            
Cumulative IPC, 2.14924
Periodic Cycles, 3890108             
Periodic Instructions, 10000000            
Periodic IPC, 2.57062

EXECUTION_TIME_count, 1215658750000
EXECUTION_TIME_total_count, 2908005000000

NODE_CYCLE_count,       3890108
NODE_CYCLE_total_count,       9305616

NODE_INST_COUNT_count,      10000000
NODE_INST_COUNT_total_count,      20000000

NODE_INST_COUNT_FETCHED_count,      10000000
NODE_INST_COUNT_FETCHED_total_count,      20000000

NODE_UOP_COUNT_count,      12702695
NODE_UOP_COUNT_total_count,      25430293

FULL_WINDOW_STALL_count,        757463
FULL_WINDOW_STALL_pct,       19.472
FULL_WINDOW_STALL_total_count,       2289851
FULL_WINDOW_STALL_total_pct,       24.607

FULL_WINDOW_MEM_OP_count,        692686
FULL_WINDOW_MEM_OP_pct,       99.894
FULL_WINDOW_MEM_OP_total_count,       2116171
FULL_WINDOW_MEM_OP_total_pct,       99.902

FULL_WINDOW_FP_OP_count,             0
FULL_WINDOW_FP_OP_pct,        0.000
FULL_WINDOW_FP_OP_total_count,             0
FULL_WINDOW_FP_OP_total_pct,        0.000

FULL_WINDOW_OTHER_OP_count,           734
FULL_WINDOW_OTHER_OP_pct,        0.106
FULL_WINDOW_OTHER_OP_total_count,          2069
FULL_WINDOW_OTHER_OP_total_pct,        0.098
FULL_WINDOW_OTHER_OP_sum_count,        693420
FULL_WINDOW_OTHER_OP_sum_pct,      100.000
FULL_WINDOW_OTHER_OP_sum_total_count,       2118240
FULL_WINDOW_OTHER_OP_sum_total_pct,      100.000
FULL_WINDOW_OTHER_OP_mean,         0.00
FULL_WINDOW_OTHER_OP_stddev,         0.07
FULL_WINDOW_OTHER_OP_total_mean,         0.00
FULL_WINDOW_OTHER_OP_total_stddev,         0.06

RET_BLOCKED_DC_MISS_count,        939165
RET_BLOCKED_DC_MISS_pct,       24.142
RET_BLOCKED_DC_MISS_total_count,       2893983
RET_BLOCKED_DC_MISS_total_pct,       31.099

RET_BLOCKED_L1_MISS_count,        579548
RET_BLOCKED_L1_MISS_pct,       14.898
RET_BLOCKED_L1_MISS_total_count,       1834129
RET_BLOCKED_L1_MISS_total_pct,       19.710

RET_BLOCKED_L1_MISS_BW_PREF_count,         49037
RET_BLOCKED_L1_MISS_BW_PREF_pct,        1.261
RET_BLOCKED_L1_MISS_BW_PREF_total_count,         74181
RET_BLOCKED_L1_MISS_BW_PREF_total_pct,        0.797

RET_BLOCKED_L1_ACCESS_count,        359617
RET_BLOCKED_L1_ACCESS_pct,        9.244
RET_BLOCKED_L1_ACCESS_total_count,       1060141
RET_BLOCKED_L1_ACCESS_total_pct,       11.392

RET_BLOCKED_MEM_STALL_count,        579548
RET_BLOCKED_MEM_STALL_pct,       14.898
RET_BLOCKED_MEM_STALL_total_count,       1834129
RET_BLOCKED_MEM_STALL_total_pct,       19.710

RET_BLOCKED_OFFCHIP_DEMAND_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_pct,        0.000
RET_BLOCKED_OFFCHIP_DEMAND_total_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_total_pct,        0.000

OP_ISSUED_count,      14033639
OP_ISSUED_total_count,      29777929

OP_RETIRED_count,      12702695
OP_RETIRED_total_count,      25430293

REPLAY_SIGNALED_count,             0
REPLAY_SIGNALED_total_count,             0

REPLAY_COUNTED_count,             0
REPLAY_COUNTED_total_count,             0

OFF_CRITICAL_PATH_count,             0
OFF_CRITICAL_PATH_pct,         -nan
OFF_CRITICAL_PATH_total_count,             0
OFF_CRITICAL_PATH_total_pct,         -nan

ON_CRITICAL_PATH_count,             0
ON_CRITICAL_PATH_pct,         -nan
ON_CRITICAL_PATH_total_count,             0
ON_CRITICAL_PATH_total_pct,         -nan
ON_CRITICAL_PATH_sum_count,             0
ON_CRITICAL_PATH_sum_pct,         -nan
ON_CRITICAL_PATH_sum_total_count,             0
ON_CRITICAL_PATH_sum_total_pct,         -nan
ON_CRITICAL_PATH_mean,         -nan
ON_CRITICAL_PATH_stddev,         -nan
ON_CRITICAL_PATH_total_mean,         -nan
ON_CRITICAL_PATH_total_stddev,         -nan

LD_NO_DEPENDENTS_count,        244995
LD_NO_DEPENDENTS_pct,        9.254
LD_NO_DEPENDENTS_total_count,        490774
LD_NO_DEPENDENTS_total_pct,        9.242

LD_DEPENDENTS_count,       2402459
LD_DEPENDENTS_pct,       90.746
LD_DEPENDENTS_total_count,       4819375
LD_DEPENDENTS_total_pct,       90.758
LD_DEPENDENTS_sum_count,       2647454
LD_DEPENDENTS_sum_pct,      100.000
LD_DEPENDENTS_sum_total_count,       5310149
LD_DEPENDENTS_sum_total_pct,      100.000
LD_DEPENDENTS_mean,         0.91
LD_DEPENDENTS_stddev,         0.87
LD_DEPENDENTS_total_mean,         0.91
LD_DEPENDENTS_total_stddev,         0.87

LD_EXEC_CYCLES_0_count,             0
LD_EXEC_CYCLES_0_pct,        0.000
LD_EXEC_CYCLES_0_total_count,             0
LD_EXEC_CYCLES_0_total_pct,        0.000

LD_EXEC_CYCLES_1_count,             0
LD_EXEC_CYCLES_1_pct,        0.000
LD_EXEC_CYCLES_1_total_count,             0
LD_EXEC_CYCLES_1_total_pct,        0.000

LD_EXEC_CYCLES_2_count,             0
LD_EXEC_CYCLES_2_pct,        0.000
LD_EXEC_CYCLES_2_total_count,             0
LD_EXEC_CYCLES_2_total_pct,        0.000

LD_EXEC_CYCLES_3_count,            82
LD_EXEC_CYCLES_3_pct,       40.594
LD_EXEC_CYCLES_3_total_count,           197
LD_EXEC_CYCLES_3_total_pct,       43.875

LD_EXEC_CYCLES_4_count,           120
LD_EXEC_CYCLES_4_pct,       59.406
LD_EXEC_CYCLES_4_total_count,           252
LD_EXEC_CYCLES_4_total_pct,       56.125
LD_EXEC_CYCLES_4_sum_count,           202
LD_EXEC_CYCLES_4_sum_pct,      100.000
LD_EXEC_CYCLES_4_sum_total_count,           449
LD_EXEC_CYCLES_4_sum_total_pct,      100.000
LD_EXEC_CYCLES_4_mean,         3.59
LD_EXEC_CYCLES_4_stddev,         2.82
LD_EXEC_CYCLES_4_total_mean,         3.56
LD_EXEC_CYCLES_4_total_stddev,         2.72

ICACHE_STAGE_STARVED_count,         79729
ICACHE_STAGE_STARVED_pct,        2.855
ICACHE_STAGE_STARVED_total_count,        447314
