Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
2264,44.9546,1200625,53973616.625,1085582,48801904.577199996
812,334.908,1500451,502513043.508,493618,165316617.144
1358,97.2156,1042017,101300307.8652,956065,92944432.614
1778,40.8635,1379373,56366008.5855,208291,8511499.2785
828,45.4532,1162831,52854390.0092,2691078,122318106.5496
2213,8.07837,1190610,9618188.1057,293544,2371357.04328
1726,65.5195,1230024,80590557.468,164957,10807900.1615
2054,37.2896,1403690,52343038.624,91386,3407747.3856
1903,16.1097,822217,13245669.2049,29766,479521.3302
509,133.977,1145129,153420948.033,387769,51952127.313
1751,10.0901,1324017,13359463.931699999,67500,681081.75
62,40.4224,1424386,57577100.646400005,391031,15806411.494400002
2151,40.7196,1324330,53926187.868,2013790,82000723.284
239,98.774,1450417,143263488.75800002,93729,9257988.246
1893,44.3029,673142,29822142.7118,51187,2267732.5423
1305,111.513,1246259,138974079.867,1252203,139636913.139
1673,34.2884,1381364,47364761.37760001,324724,11134266.401600001
492,45.4197,976121,44335122.9837,532041,24165142.607699998
2249,320.874,1361130,436751227.62,1845589,592201524.786
264,17.7912,1361114,24215851.3968,2739957,48747122.9784
2123,26.1783,1109317,29040033.2211,442651,11587850.6733
116,27.1629,1253479,34048124.729100004,1142191,31025219.9139
1159,18.1708,1385410,25174008.028,636734,11569966.1672
1270,263.009,1313561,345478365.049,2315886,609098860.974
2165,28.2044,1108473,31263815.8812,38199,1077379.8756
1152,171.372,1169617,200439604.52400002,873873,149757363.756
792,79.0312,1191635,94176344.012,77322,6110850.4464
1979,51.6033,1060321,54716062.6593,348675,17992780.627499998
2185,56.1164,1107888,62170686.1632,3056936,171544243.3504

weighted_avg,NA,NA,2942322239.4564004,NA,2442574636.41058
weighted_%,NA,NA,0.5464027087766058,NA,0.45359729122339415
weighted_total,5384896875.866981
