Simpoints,Weight,FDIP_PREFETCH_HIT_ICACHE_val,FDIP_PREFETCH_HIT_ICACHE_w_val,FDIP_PREFETCH_HIT_MLC_val,FDIP_PREFETCH_HIT_MLC_w_val,FDIP_PREFETCH_HIT_L1_val,FDIP_PREFETCH_HIT_L1_w_val,FDIP_PREFETCH_HIT_DRAM_val,FDIP_PREFETCH_HIT_DRAM_w_val
2264,44.9546,2201053,98947457.1938,69815,3138505.3989999997,1908,85773.3768,3208,144214.3568
812,334.908,1432067,479610694.836,545051,182541940.308,1893,633980.844,77,25787.916
1358,97.2156,1791137,174126458.1372,152260,14802047.256,30400,2955354.2399999998,5625,546837.75
1778,40.8635,1586856,64844490.156,54,2206.629,147,6006.9345,8,326.908
828,45.4532,3850103,174999501.6796,278,12635.9896,944,42907.8208,1847,83952.0604
2213,8.07837,1483645,11985433.25865,0,0.0,0,0.0,165,1332.93105
1726,65.5195,1390650,91114692.675,4346,284747.747,39,2555.2605,0,0.0
2054,37.2896,1489345,55537079.312,3446,128499.9616,9,335.6064,522,19465.1712
1903,16.1097,851433,13716330.200100001,87,1401.5439000000001,108,1739.8476,24,386.6328
509,133.977,1431079,191731671.183,70576,9455560.752,28949,3878500.173,1092,146302.884
1751,10.0901,1391447,14039839.374699999,0,0.0,0,0.0,0,0.0
62,40.4224,1746882,70613162.9568,66359,2682390.0416,492,19887.8208,600,24253.440000000002
2151,40.7196,3331613,135661948.7148,19,773.6724,96,3909.0816,1165,47438.334
239,98.774,1538854,151998764.996,5209,514513.766,8,790.192,3,296.322
1893,44.3029,723915,32071533.8535,379,16790.7991,0,0.0,0,0.0
1305,111.513,2228835,248544077.35500002,195247,21772578.711,32341,3606441.933,13573,1513565.949
1673,34.2884,1697799,58214811.2316,8236,282399.2624,38,1302.9592,26,891.4984000000001
492,45.4197,1419235,64461227.9295,60404,2743531.5587999998,24856,1128952.0632,1511,68629.1667
2249,320.874,2858561,917237902.314,283711,91035483.414,30083,9652852.542000001,707,226857.918
264,17.7912,4025254,71614098.9648,60799,1081687.1688,22,391.4064,1493,26562.2616
2123,26.1783,1552242,40635056.7486,242,6335.1486,115,3010.5045,9,235.6047
116,27.1629,2390216,64925198.186400004,5411,146978.45190000001,5,135.8145,172,4672.0188
1159,18.1708,2016280,36637420.624,333,6050.8764,129,2344.0332,1967,35741.9636
1270,263.009,3401649,894664301.8410001,85458,22476223.122,9099,2393118.8910000003,29525,7765340.725000001
2165,28.2044,1142589,32226037.1916,3963,111774.03719999999,0,0.0,1,28.2044
1152,171.372,2038458,349334624.37600005,1396,239235.312,3648,625165.0560000001,22,3770.184
792,79.0312,1064666,84141831.5792,204101,16130346.9512,107,8456.3384,63,4978.9655999999995
1979,51.6033,1399940,72241523.802,512,26420.8896,5813,299969.9829,1855,95724.1215
2185,56.1164,4165484,233751966.3376,0,0.0,0,0.0,82,4601.5448

weighted_avg,NA,NA,4929629137.00845,NA,369641058.76909995,NA,25353882.7223,NA,10792194.83235
weighted_%,NA,NA,0.9239446154647802,NA,0.06928064087832514,NA,0.004751997112020165,NA,0.0020227465448745215
weighted_total,5335416273.332199
