Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2264,44.9546,66474,2988312.0804,0,0.0
812,334.908,83603,27999313.524,0,0.0
1358,97.2156,323448,31444191.3888,0,0.0
1778,40.8635,552,22556.652000000002,0,0.0
828,45.4532,22020,1000879.464,0,0.0
2213,8.07837,1703,13757.464109999999,0,0.0
1726,65.5195,191,12514.224499999998,0,0.0
2054,37.2896,7995,298130.352,0,0.0
1903,16.1097,578,9311.4066,0,0.0
509,133.977,116652,15628685.004,0,0.0
1751,10.0901,0,0.0,0,0.0
62,40.4224,15994,646515.8656,0,0.0
2151,40.7196,16153,657743.6988,0,0.0
239,98.774,848,83760.352,0,0.0
1893,44.3029,0,0.0,0,0.0
1305,111.513,474765,52942469.445,0,0.0
1673,34.2884,1376,47180.8384,0,0.0
492,45.4197,107071,4863132.6987,0,0.0
2249,320.874,302014,96908440.236,0,0.0
264,17.7912,25738,457909.9056,0,0.0
2123,26.1783,728,19057.8024,0,0.0
116,27.1629,2504,68015.9016,0,0.0
1159,18.1708,9667,175657.1236,0,0.0
1270,263.009,602340,158420841.06,634,166747.706
2165,28.2044,6,169.2264,0,0.0
1152,171.372,5966,1022405.3520000001,0,0.0
792,79.0312,7525,594709.78,0,0.0
1979,51.6033,50469,2604366.9477,0,0.0
2185,56.1164,1181,66273.4684,0,0.0

weighted_avg,NA,NA,398996301.2626101,NA,166747.706
weighted_%,NA,NA,0.9995822566581981,NA,0.00041774334180194356
weighted_total,399163048.96861005
