Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
2264,44.9546,47033,2114349.7018,57543,2586822.5478
812,334.908,402720,134874149.76000002,109535,36684147.78
1358,97.2156,105433,10249732.354799999,102943,10007665.5108
1778,40.8635,3,122.5905,37,1511.9495000000002
828,45.4532,462,20999.3784,1916,87088.3312
2213,8.07837,38,306.97805999999997,325,2625.47025
1726,65.5195,678,44422.221,740,48484.42999999999
2054,37.2896,1652,61602.4192,3172,118282.6112
1903,16.1097,71,1143.7887,178,2867.5266
509,133.977,66599,8922734.223000001,20582,2757514.614
1751,10.0901,0,0.0,8,80.7208
62,40.4224,36509,1475781.4016000002,21969,888039.7056000001
2151,40.7196,268,10912.8528,2686,109372.8456
239,98.774,2175,214833.45,1117,110330.558
1893,44.3029,1,44.3029,18,797.4522000000001
1305,111.513,132591,14785620.183,125326,13975478.238
1673,34.2884,368,12618.131200000002,270,9257.868
492,45.4197,54272,2465017.9584,35520,1613307.744
2249,320.874,176185,56533185.690000005,145270,46613365.980000004
264,17.7912,41525,738779.58,26879,478209.66479999997
2123,26.1783,82,2146.6206,38,994.7754
116,27.1629,815,22137.7635,269,7306.8201
1159,18.1708,374,6795.8792,4281,77789.1948
1270,263.009,55549,14609886.941000002,160821,42297370.389000006
2165,28.2044,675,19037.97,249,7022.8956
1152,171.372,2429,416262.58800000005,4570,783170.04
792,79.0312,152870,12081499.544,14913,1178592.2856
1979,51.6033,3603,185926.6899,1021,52686.9693
2185,56.1164,27,1515.1428,328,18406.1792

weighted_avg,NA,NA,259871566.10436,NA,160518591.09735
weighted_%,NA,NA,0.6181675799313956,NA,0.38183242006860446
weighted_total,420390157.20171
