Simpoints,Weight,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_w_val
2264,44.9546,61,2742.2306,626,28141.5796
812,334.908,0,0.0,0,0.0
1358,97.2156,0,0.0,0,0.0
1778,40.8635,2,81.727,0,0.0
828,45.4532,25,1136.3300000000002,67,3045.3644000000004
2213,8.07837,4,32.31348,21,169.64577
1726,65.5195,0,0.0,0,0.0
2054,37.2896,38,1417.0048,95,3542.512
1903,16.1097,4,64.4388,0,0.0
509,133.977,15,2009.655,2,267.954
1751,10.0901,0,0.0,0,0.0
62,40.4224,15,606.336,85,3435.9040000000005
2151,40.7196,5,203.598,152,6189.3792
239,98.774,3,296.322,0,0.0
1893,44.3029,0,0.0,0,0.0
1305,111.513,26,2899.338,2,223.026
1673,34.2884,0,0.0,4,137.1536
492,45.4197,3,136.2591,0,0.0
2249,320.874,77,24707.298000000003,125,40109.25
264,17.7912,25,444.78,140,2490.768
2123,26.1783,0,0.0,0,0.0
116,27.1629,2,54.3258,11,298.7919
1159,18.1708,9,163.53719999999998,65,1181.102
1270,263.009,374,98365.36600000001,1620,426074.58
2165,28.2044,0,0.0,0,0.0
1152,171.372,4,685.488,0,0.0
792,79.0312,0,0.0,0,0.0
1979,51.6033,2,103.2066,0,0.0
2185,56.1164,0,0.0,7,392.8148

weighted_avg,NA,NA,136149.55438000002,NA,515699.82527
weighted_%,NA,NA,0.20886658579487077,NA,0.7911334142051292
weighted_total,651849.37965
