Simpoints,Weight,ICACHE_FIRST_MISS_AFTER_WARMUP_NO_PREF_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NO_PREF_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_UNUSEFUL_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_UNUSEFUL_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_USEFUL_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_USEFUL_DURING_WARMUP_w_val
2264,44.9546,23,1033.9558,0,0.0,5,224.773
812,334.908,0,0.0,0,0.0,0,0.0
1358,97.2156,0,0.0,0,0.0,0,0.0
1778,40.8635,0,0.0,0,0.0,1,40.8635
828,45.4532,4,181.8128,0,0.0,8,363.6256
2213,8.07837,4,32.31348,0,0.0,0,0.0
1726,65.5195,0,0.0,0,0.0,0,0.0
2054,37.2896,8,298.3168,0,0.0,6,223.7376
1903,16.1097,0,0.0,0,0.0,0,0.0
509,133.977,13,1741.701,0,0.0,0,0.0
1751,10.0901,0,0.0,0,0.0,0,0.0
62,40.4224,10,404.22400000000005,0,0.0,3,121.2672
2151,40.7196,4,162.8784,0,0.0,0,0.0
239,98.774,2,197.548,0,0.0,0,0.0
1893,44.3029,0,0.0,0,0.0,0,0.0
1305,111.513,3,334.539,0,0.0,15,1672.6950000000002
1673,34.2884,0,0.0,0,0.0,0,0.0
492,45.4197,0,0.0,0,0.0,2,90.8394
2249,320.874,30,9626.220000000001,0,0.0,6,1925.2440000000001
264,17.7912,5,88.956,0,0.0,5,88.956
2123,26.1783,0,0.0,0,0.0,0,0.0
116,27.1629,1,27.1629,0,0.0,0,0.0
1159,18.1708,1,18.1708,0,0.0,4,72.6832
1270,263.009,87,22881.783000000003,0,0.0,55,14465.495
2165,28.2044,0,0.0,0,0.0,0,0.0
1152,171.372,1,171.372,0,0.0,2,342.744
792,79.0312,0,0.0,0,0.0,0,0.0
1979,51.6033,0,0.0,0,0.0,0,0.0
2185,56.1164,0,0.0,0,0.0,0,0.0

weighted_avg,NA,NA,37200.953980000006,NA,0.0,NA,19632.9235
weighted_%,NA,NA,0.6545559731181656,NA,0.0,NA,0.3454440268818343
weighted_total,56833.87748000001
