Simpoints,Weight,FDIP_NEW_PREFETCHES_ONPATH_val,FDIP_NEW_PREFETCHES_ONPATH_w_val,FDIP_NEW_PREFETCHES_OFFPATH_val,FDIP_NEW_PREFETCHES_OFFPATH_w_val
2264,44.9546,36642,1647226.4531999999,20748,932718.0408
812,334.908,367969,123235761.85200001,101780,34086936.24
1358,97.2156,85037,8266922.9772,66450,6459976.62
1778,40.8635,4,163.454,31,1266.7685000000001
828,45.4532,484,21999.3488,1142,51907.5544
2213,8.07837,7,56.54859,106,856.3072199999999
1726,65.5195,620,40622.09,89,5831.2355
2054,37.2896,1290,48103.584,1297,48364.6112
1903,16.1097,54,869.9238,85,1369.3245
509,133.977,72643,9732491.211000001,10163,1361608.251
1751,10.0901,0,0.0,0,0.0
62,40.4224,30219,1221524.5056,9304,376090.00960000005
2151,40.7196,185,7533.126,712,28992.355199999998
239,98.774,2128,210191.07200000001,537,53041.638
1893,44.3029,0,0.0,0,0.0
1305,111.513,107031,11935347.903,84545,9427866.585
1673,34.2884,441,15121.184400000002,134,4594.645600000001
492,45.4197,53072,2410514.3183999998,19169,870650.2293
2249,320.874,137612,44156112.888000004,125391,40234711.734000005
264,17.7912,38945,692878.284,9883,175830.4296
2123,26.1783,118,3089.0394,54,1413.6282
116,27.1629,1095,29743.375500000002,176,4780.6704
1159,18.1708,180,3270.744,948,17225.9184
1270,263.009,38980,10252090.82,49718,13076281.462000001
2165,28.2044,726,20476.3944,51,1438.4243999999999
1152,171.372,2195,376161.54000000004,1670,286191.24000000005
792,79.0312,154500,12210320.4,4523,357458.1176
1979,51.6033,4751,245167.27829999998,1469,75805.24769999999
2185,56.1164,6,336.6984,91,5106.5923999999995

weighted_avg,NA,NA,226784097.01398998,NA,107948313.88051999
weighted_%,NA,NA,0.6775086296781114,NA,0.32249137032188857
weighted_total,334732410.89451
