Simpoints,Weight,FDIP_PREFETCH_HIT_ICACHE_val,FDIP_PREFETCH_HIT_ICACHE_w_val,FDIP_PREFETCH_HIT_MLC_val,FDIP_PREFETCH_HIT_MLC_w_val,FDIP_PREFETCH_HIT_L1_val,FDIP_PREFETCH_HIT_L1_w_val,FDIP_PREFETCH_HIT_DRAM_val,FDIP_PREFETCH_HIT_DRAM_w_val
2264,44.9546,2374258,106733818.6868,68535,3080963.511,2512,112925.9552,3477,156307.1442
812,334.908,1534125,513790735.5,565343,189337893.444,1907,638669.556,77,25787.916
1358,97.2156,1990251,193483445.1156,154737,15042850.2972,34011,3306399.7715999996,6169,599723.0364
1778,40.8635,1628732,66555690.082,0,0.0,27,1103.3145,10,408.635
828,45.4532,4328128,196727267.6096,100,4545.320000000001,728,33089.9296,1823,82861.1836
2213,8.07837,1525240,12321453.058799999,0,0.0,1,8.07837,158,1276.38246
1726,65.5195,1423153,93244272.98349999,978,64078.070999999996,52,3407.0139999999997,0,0.0
2054,37.2896,1463435,54570905.776,2929,109221.2384,21,783.0816,563,20994.0448
1903,16.1097,853822,13754816.2734,29,467.1813,130,2094.261,33,531.6201
509,133.977,1503119,201383374.263,68725,9207569.325000001,32622,4370597.694,1229,164657.733
1751,10.0901,1405041,14177004.1941,0,0.0,0,0.0,0,0.0
62,40.4224,1838264,74307042.71360001,45188,1826607.4112000002,798,32257.075200000003,597,24132.1728
2151,40.7196,3691193,150303902.4828,4,162.8784,23,936.5508,1334,54319.9464
239,98.774,1558745,153963478.63,3206,316669.444,8,790.192,4,395.096
1893,44.3029,732875,32468487.837500002,0,0.0,0,0.0,0,0.0
1305,111.513,2473237,275798077.58100003,198840,22173244.92,36589,4080149.157,14857,1656748.641
1673,34.2884,1760118,60351630.03120001,676,23178.958400000003,81,2777.3604,28,960.0752000000001
492,45.4197,1508374,68509894.5678,61729,2803712.6613,27521,1249995.5637,1802,81846.2994
2249,320.874,3207086,1029070513.164,293631,94218553.494,32879,10550016.246000001,755,242259.87000000002
264,17.7912,4503374,80120427.5088,58046,1032707.9952,39,693.8568,2184,38855.9808
2123,26.1783,1603039,41964835.8537,143,3743.4969,75,1963.3725,4,104.7132
116,27.1629,2559952,69535720.1808,1517,41206.1193,6,162.9774,214,5812.8606
1159,18.1708,2127822,38664227.9976,268,4869.7744,139,2525.7412,1853,33670.4924
1270,263.009,3673893,966266924.0370001,83957,22081446.613,8707,2290019.363,26134,6873477.206
2165,28.2044,1153712,32539754.7328,977,27555.6988,0,0.0,5,141.022
1152,171.372,2203440,377607919.68,698,119617.656,4910,841436.52,14,2399.208
792,79.0312,1082961,85587707.3832,200198,15821888.1776,138,10906.3056,95,7507.964
1979,51.6033,1467275,75716232.0075,218,11249.5194,6684,344916.4572,2578,133033.3074
2185,56.1164,4611336,258771575.5104,0,0.0,0,0.0,108,6060.5712

weighted_avg,NA,NA,5338291135.442499,NA,377354003.2058001,NA,27878625.394670002,NA,10214273.12196
weighted_%,NA,NA,0.9277953047151353,NA,0.06558414734358255,NA,0.004845306688381453,NA,0.0017752412529008594
weighted_total,5753738037.164928
