Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
2264,44.9546,33040,1485299.984,14232,639793.8672
812,334.908,351697,117786138.876,59069,19782680.652000003
1358,97.2156,72609,7058727.500399999,36800,3577534.0799999996
1778,40.8635,2,81.727,3,122.5905
828,45.4532,224,10181.516800000001,388,17635.8416
2213,8.07837,3,24.23511,47,379.68339
1726,65.5195,597,39115.1415,86,5634.677
2054,37.2896,1050,39154.08,698,26028.1408
1903,16.1097,43,692.7171,44,708.8268
509,133.977,68541,9182917.557,6163,825700.251
1751,10.0901,0,0.0,0,0.0
62,40.4224,28942,1169905.1008000001,7984,322732.4416
2151,40.7196,40,1628.784,267,10872.1332
239,98.774,1940,191621.56,391,38620.634
1893,44.3029,0,0.0,1,44.3029
1305,111.513,91196,10169539.548,46030,5132943.390000001
1673,34.2884,344,11795.2096,55,1885.862
492,45.4197,49207,2234967.1779,11054,502069.3638
2249,320.874,116957,37528460.418000005,66791,21431495.334000003
264,17.7912,36817,655018.6104,5430,96606.216
2123,26.1783,67,1753.9461000000001,29,759.1707
116,27.1629,658,17873.1882,11,298.7919
1159,18.1708,72,1308.2975999999999,383,6959.4164
1270,263.009,28607,7523898.463,22610,5946633.49
2165,28.2044,638,17994.4072,54,1523.0375999999999
1152,171.372,1977,338802.444,1112,190565.66400000002
792,79.0312,150219,11871987.832799999,3788,299370.18559999997
1979,51.6033,3923,202439.74589999998,862,44482.0446
2185,56.1164,0,0.0,26,1459.0264

weighted_avg,NA,NA,207541328.06841,NA,58905539.11499
weighted_%,NA,NA,0.7789220052099757,NA,0.2210779947900243
weighted_total,266446867.1834
