Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2264,44.9546,7107,319492.3422
812,334.908,51174,17138581.992000002
1358,97.2156,30516,2966631.2495999997
1778,40.8635,32,1307.632
828,45.4532,794,36089.840800000005
2213,8.07837,28,226.19436
1726,65.5195,3,196.55849999999998
2054,37.2896,567,21143.2032
1903,16.1097,71,1143.7887
509,133.977,5645,756300.165
1751,10.0901,0,0.0
62,40.4224,1840,74377.216
2151,40.7196,499,20319.0804
239,98.774,223,22026.602
1893,44.3029,0,0.0
1305,111.513,39022,4351460.286
1673,34.2884,74,2537.3416
492,45.4197,8791,399284.58269999997
2249,320.874,61530,19743377.220000003
264,17.7912,5141,91464.5592
2123,26.1783,24,628.2792
116,27.1629,285,7741.4265000000005
1159,18.1708,602,10938.8216
1270,263.009,27439,7216703.951
2165,28.2044,85,2397.374
1152,171.372,548,93911.85600000001
792,79.0312,4287,338806.7544
1979,51.6033,526,27143.335799999997
2185,56.1164,95,5331.058

weighted_avg,NA,NA,53649562.71076
weighted_%,NA,NA,1.0
weighted_total,53649562.71076
