Simpoints,Weight,FDIP_SENIORITY_FTQ_ACCUMULATED_val,FDIP_SENIORITY_FTQ_ACCUMULATED_w_val
2264,44.9546,383862800,17256398628.88
812,334.908,317924918,106475598437.544
1358,97.2156,516351781,50197448200.9836
1778,40.8635,269411068,11009079177.218
828,45.4532,49523229,2250989232.3828
2213,8.07837,19654089,158773002.95492998
1726,65.5195,46658688,3057053908.416
2054,37.2896,562610763,20979530307.9648
1903,16.1097,52091318,839175505.5846
509,133.977,17244439,2310358203.903
1751,10.0901,26995303,272385306.8003
62,40.4224,50439013,2038865959.0912
2151,40.7196,309681321,12610099518.5916
239,98.774,3093168,305524576.032
1893,44.3029,431863,19132783.3027
1305,111.513,955417568,106541479260.384
1673,34.2884,30375846,1041539157.9864001
492,45.4197,36522665,1658848487.5005
2249,320.874,1219244635,391223903010.99005
264,17.7912,180000864,3202431371.5968
2123,26.1783,1908249,49954714.7967
116,27.1629,23382815,635145065.5635
1159,18.1708,108211357,1966286925.7756
1270,263.009,5394283151,1418745017261.3591
2165,28.2044,22104713,623450167.3372
1152,171.372,71065100,12178568317.2
792,79.0312,288079,22767229.064799998
1979,51.6033,42793612,2208291598.1196
2185,56.1164,127006062,7127122977.6168

weighted_avg,NA,NA,2177005218294.9404
weighted_%,NA,NA,1.0
weighted_total,2177005218294.9404
