Simpoints,Weight,ICACHE_MISS_NOT_PREFETCHED_val,ICACHE_MISS_NOT_PREFETCHED_w_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_w_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_w_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_w_val
2264,44.9546,45,2022.9569999999999,0,0.0,0,0.0,82,3686.2772,4207,189124.0022
812,334.908,4,1339.632,0,0.0,0,0.0,365,122241.42000000001,8168,2735528.544
1358,97.2156,8,777.7248,0,0.0,0,0.0,1462,142129.2072,12446,1209945.3576
1778,40.8635,0,0.0,0,0.0,0,0.0,0,0.0,3,122.5905
828,45.4532,1,45.4532,0,0.0,0,0.0,37,1681.7684000000002,537,24408.368400000003
2213,8.07837,0,0.0,0,0.0,0,0.0,2,16.15674,29,234.27273
1726,65.5195,1,65.5195,0,0.0,0,0.0,0,0.0,24,1572.4679999999998
2054,37.2896,2,74.5792,0,0.0,0,0.0,6,223.7376,417,15549.7632
1903,16.1097,0,0.0,0,0.0,0,0.0,3,48.3291,22,354.4134
509,133.977,16,2143.632,0,0.0,0,0.0,136,18220.872,1819,243704.163
1751,10.0901,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
62,40.4224,2,80.8448,0,0.0,0,0.0,5,202.11200000000002,722,29184.972800000003
2151,40.7196,7,285.0372,0,0.0,0,0.0,21,855.1116,344,14007.5424
239,98.774,0,0.0,0,0.0,0,0.0,0,0.0,132,13038.168
1893,44.3029,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1305,111.513,18,2007.2340000000002,0,0.0,0,0.0,2197,244994.06100000002,16544,1844871.0720000002
1673,34.2884,0,0.0,0,0.0,0,0.0,0,0.0,105,3600.282
492,45.4197,18,817.5545999999999,0,0.0,0,0.0,132,5995.4003999999995,3021,137212.9137
2249,320.874,24,7700.976000000001,0,0.0,0,0.0,2068,663567.432,19938,6397585.812000001
264,17.7912,427,7596.8423999999995,0,0.0,0,0.0,40,711.648,1436,25548.1632
2123,26.1783,0,0.0,0,0.0,0,0.0,0,0.0,56,1465.9848
116,27.1629,0,0.0,0,0.0,0,0.0,2,54.3258,346,9398.3634
1159,18.1708,3,54.5124,0,0.0,0,0.0,27,490.6116,354,6432.4632
1270,263.009,765,201201.885,0,0.0,0,0.0,1820,478676.38,17702,4655785.318
2165,28.2044,2,56.4088,0,0.0,0,0.0,0,0.0,3,84.6132
1152,171.372,26,4455.6720000000005,0,0.0,0,0.0,1,171.372,266,45584.952000000005
792,79.0312,0,0.0,0,0.0,0,0.0,0,0.0,701,55400.8712
1979,51.6033,22,1135.2726,0,0.0,0,0.0,9,464.42969999999997,866,44688.4578
2185,56.1164,0,0.0,0,0.0,0,0.0,0,0.0,24,1346.7936

weighted_avg,NA,NA,231861.73750000002,NA,0.0,NA,0.0,NA,1684430.6523400003,NA,17705780.686329998
weighted_%,NA,NA,0.011816373152823705,NA,0.0,NA,0.0,NA,0.08584366421434109,NA,0.9023399626328352
weighted_total,19622073.076169997
