Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2264,44.9546,557395,25057469.267
812,334.908,446350,149486185.8
1358,97.2156,2097805,203939371.758
1778,40.8635,405,16549.717500000002
828,45.4532,186840,8492475.888
2213,8.07837,11160,90154.60919999999
1726,65.5195,1505,98606.84749999999
2054,37.2896,67200,2505861.12
1903,16.1097,5245,84495.3765
509,133.977,424980,56937545.46
1751,10.0901,0,0.0
62,40.4224,122370,4946489.088
2151,40.7196,189090,7699669.164
239,98.774,7335,724507.29
1893,44.3029,0,0.0
1305,111.513,3264625,364048127.625
1673,34.2884,10905,373915.00200000004
492,45.4197,579385,26315492.8845
2249,320.874,1873165,601049946.21
264,17.7912,208600,3711244.32
2123,26.1783,6025,157724.2575
116,27.1629,29960,813800.484
1159,18.1708,89820,1632101.256
1270,263.009,5683880,1494911594.92
2165,28.2044,1630,45973.172
1152,171.372,50435,8643146.82
792,79.0312,44565,3522025.428
1979,51.6033,218080,11253647.663999999
2185,56.1164,16045,900387.638

weighted_avg,NA,NA,2977458509.0667
weighted_%,NA,NA,1.0
weighted_total,2977458509.0667
