Simpoints,Weight,ICACHE_HIT_val,ICACHE_HIT_w_val,ICACHE_MISS_val,ICACHE_MISS_w_val
2264,44.9546,1645996,73995091.7816,4891,219872.9486
812,334.908,1633910,547209530.28,5471,1832281.668
1358,97.2156,1413092,137374586.6352,12728,1237360.1568
1778,40.8635,1418866,57979830.791,4,163.454
828,45.4532,2655415,120697109.07800001,638,28999.141600000003
2213,8.07837,1257135,10155601.66995,60,484.70219999999995
1726,65.5195,1214051,79544014.4945,30,1965.5849999999998
2054,37.2896,1418443,52893172.0928,502,18719.3792
1903,16.1097,835742,13463552.8974,37,596.0589
509,133.977,1356967,181802367.759,7043,943600.011
1751,10.0901,1291309,13029436.9409,0,0.0
62,40.4224,1550458,62673233.4592,965,39007.616
2151,40.7196,2244218,91383659.2728,468,19056.7728
239,98.774,1440427,142276736.498,133,13136.942000000001
1893,44.3029,697881,30918152.1549,0,0.0
1305,111.513,1712470,190962667.11,17243,1922818.659
1673,34.2884,1528814,52420585.957600005,131,4491.780400000001
492,45.4197,1239827,56312570.391899996,6311,286643.7267
2249,320.874,1928748,618885085.7520001,18002,5776373.748000001
264,17.7912,2874878,51147529.4736,2047,36418.5864
2123,26.1783,1359815,35597645.0145,55,1439.8065
116,27.1629,1297092,35232780.2868,351,9534.1779
1159,18.1708,1561338,28370760.5304,403,7322.8324
1270,263.009,2148897,565179251.0730001,26679,7016817.1110000005
2165,28.2044,1061176,29929832.3744,5,141.022
1152,171.372,1542889,264407973.70800003,653,111905.91600000001
792,79.0312,1208817,95534258.0904,837,66149.1144
1979,51.6033,1187546,61281292.50179999,1553,80139.9249
2185,56.1164,2643361,148335903.2204,32,1795.7248

weighted_avg,NA,NA,3848994211.2900505,NA,19677236.566500004
weighted_%,NA,NA,0.9949136966445155,NA,0.005086303355484539
weighted_total,3868671447.8565507
