Simpoints,Weight,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_val,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_w_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_w_val
2264,44.9546,40,1798.184,5246,235831.8316
812,334.908,3,1004.724,24703,8273232.324
1358,97.2156,76,7388.3856,18321,1781087.0076
1778,40.8635,0,0.0,24,980.724
828,45.4532,3,136.3596,623,28317.3436
2213,8.07837,0,0.0,7,56.54859
1726,65.5195,0,0.0,3,196.55849999999998
2054,37.2896,4,149.1584,395,14729.392
1903,16.1097,1,16.1097,64,1031.0208
509,133.977,8,1071.816,3011,403404.74700000003
1751,10.0901,0,0.0,0,0.0
62,40.4224,2,80.8448,985,39816.064000000006
2151,40.7196,0,0.0,458,18649.5768
239,98.774,11,1086.5140000000001,119,11754.106
1893,44.3029,0,0.0,0,0.0
1305,111.513,88,9813.144,23142,2580633.846
1673,34.2884,0,0.0,68,2331.6112000000003
492,45.4197,17,772.1349,5754,261344.9538
2249,320.874,144,46205.856,34408,11040632.592
264,17.7912,13,231.2856,3006,53480.3472
2123,26.1783,0,0.0,19,497.3877
116,27.1629,0,0.0,135,3666.9915
1159,18.1708,1,18.1708,455,8267.714
1270,263.009,138,36295.242,22209,5841166.881
2165,28.2044,0,0.0,0,0.0
1152,171.372,3,514.116,427,73175.84400000001
792,79.0312,0,0.0,639,50500.936799999996
1979,51.6033,4,206.4132,253,13055.6349
2185,56.1164,0,0.0,58,3254.7511999999997

weighted_avg,NA,NA,106788.4586,NA,30741096.73579
weighted_%,NA,NA,0.003461775675287477,NA,0.9965382243247125
weighted_total,30847885.19439
