Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
2264,44.9546,3338,150058.4548,1232,55384.0672
812,334.908,5135,1719752.58,209,69995.772
1358,97.2156,11123,1081329.1188,1353,131532.70679999999
1778,40.8635,4,163.454,0,0.0
828,45.4532,396,17999.467200000003,217,9863.3444
2213,8.07837,20,161.5674,33,266.58621
1726,65.5195,25,1637.9874999999997,4,262.078
2054,37.2896,286,10664.8256,156,5817.1776
1903,16.1097,18,289.9746,14,225.5358
509,133.977,6497,870448.569,468,62701.236000000004
1751,10.0901,0,0.0,0,0.0
62,40.4224,772,31206.092800000002,156,6305.8944
2151,40.7196,218,8876.8728,177,7207.3692
239,98.774,121,11951.654,12,1185.288
1893,44.3029,0,0.0,0,0.0
1305,111.513,14847,1655633.5110000002,1825,203511.225
1673,34.2884,107,3668.8588000000004,24,822.9216000000001
492,45.4197,5613,254940.7761,661,30022.4217
2249,320.874,15175,4869262.95,2432,780365.5680000001
264,17.7912,1212,21562.9344,361,6422.6232
2123,26.1783,52,1361.2716,2,52.3566
116,27.1629,312,8474.8248,34,923.5386
1159,18.1708,161,2925.4988,216,3924.8928
1270,263.009,13237,3481450.1330000004,5868,1543336.8120000002
2165,28.2044,4,112.8176,0,0.0
1152,171.372,496,85000.512,130,22278.36
792,79.0312,827,65358.8024,6,474.18719999999996
1979,51.6033,1381,71264.15729999999,133,6863.238899999999
2185,56.1164,7,392.8148,25,1402.9099999999999

weighted_avg,NA,NA,14425950.4811,NA,2951148.1112100007
weighted_%,NA,NA,0.8301702614200515,NA,0.16982973857994862
weighted_total,17377098.59231
