Simpoints,Weight,ICACHE_MISS_NOT_PREFETCHED_val,ICACHE_MISS_NOT_PREFETCHED_w_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_w_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_w_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_w_val
2264,44.9546,61,2742.2306,0,0.0,0,0.0,159,7147.7814,4602,206881.0692
812,334.908,2,669.816,0,0.0,0,0.0,2135,715028.5800000001,27186,9104808.888
1358,97.2156,17,1652.6652,0,0.0,0,0.0,2071,201333.50759999998,16421,1596377.3676
1778,40.8635,0,0.0,0,0.0,0,0.0,0,0.0,4,163.454
828,45.4532,2,90.9064,0,0.0,0,0.0,33,1499.9556,596,27090.107200000002
2213,8.07837,0,0.0,0,0.0,0,0.0,5,40.39185,48,387.76176
1726,65.5195,1,65.5195,0,0.0,0,0.0,0,0.0,29,1900.0654999999997
2054,37.2896,2,74.5792,0,0.0,0,0.0,7,261.0272,443,16519.2928
1903,16.1097,0,0.0,0,0.0,0,0.0,0,0.0,32,515.5104
509,133.977,7,937.839,0,0.0,0,0.0,915,122588.955,6520,873530.04
1751,10.0901,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
62,40.4224,2,80.8448,0,0.0,0,0.0,338,13662.771200000001,1747,70617.93280000001
2151,40.7196,7,285.0372,0,0.0,0,0.0,14,570.0744,385,15677.046
239,98.774,0,0.0,0,0.0,0,0.0,0,0.0,132,13038.168
1893,44.3029,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1305,111.513,17,1895.721,0,0.0,0,0.0,2777,309671.601,21597,2408346.261
1673,34.2884,0,0.0,0,0.0,0,0.0,0,0.0,131,4491.780400000001
492,45.4197,4,181.6788,0,0.0,0,0.0,739,33565.1583,6392,290322.72239999997
2249,320.874,30,9626.220000000001,0,0.0,0,0.0,4317,1385213.0580000002,29676,9522256.824000001
264,17.7912,265,4714.668,0,0.0,0,0.0,62,1103.0544,2078,36970.1136
2123,26.1783,0,0.0,0,0.0,0,0.0,0,0.0,54,1413.6282
116,27.1629,0,0.0,0,0.0,0,0.0,1,27.1629,345,9371.2005
1159,18.1708,13,236.22039999999998,0,0.0,0,0.0,33,599.6364,343,6232.5844
1270,263.009,717,188577.453,0,0.0,0,0.0,2506,659100.554,17301,4550318.709
2165,28.2044,1,28.2044,0,0.0,0,0.0,0,0.0,4,112.8176
1152,171.372,5,856.8600000000001,0,0.0,0,0.0,62,10625.064,528,90484.41600000001
792,79.0312,0,0.0,0,0.0,0,0.0,10,790.312,1663,131428.8856
1979,51.6033,45,2322.1485,0,0.0,0,0.0,279,14397.320699999998,1133,58466.5389
2185,56.1164,0,0.0,0,0.0,0,0.0,0,0.0,32,1795.7248

weighted_avg,NA,NA,215038.612,NA,0.0,NA,0.0,NA,3477225.96595,NA,29039518.90966
weighted_%,NA,NA,0.006569718759180929,NA,0.0,NA,0.0,NA,0.10623392908810601,NA,0.8871963521527131
weighted_total,32731783.48761
