Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
2264,44.9546,33655,1512947.063,13914,625498.3044
812,334.908,356854,119513259.43200001,52666,17638264.728
1358,97.2156,72573,7055227.7387999995,35833,3483526.5947999996
1778,40.8635,1,40.8635,3,122.5905
828,45.4532,175,7954.31,378,17181.3096
2213,8.07837,3,24.23511,40,323.1348
1726,65.5195,595,38984.10249999999,86,5634.677
2054,37.2896,1039,38743.8944,662,24685.7152
1903,16.1097,41,660.4977,44,708.8268
509,133.977,64908,8696179.116,5659,758175.843
1751,10.0901,0,0.0,0,0.0
62,40.4224,29625,1197513.6,7276,294113.3824
2151,40.7196,44,1791.6624,259,10546.3764
239,98.774,1947,192312.978,392,38719.408
1893,44.3029,0,0.0,1,44.3029
1305,111.513,91355,10187270.115,44747,4989872.211
1673,34.2884,337,11555.1908,51,1748.7084000000002
492,45.4197,47416,2153620.4952,10340,469639.698
2249,320.874,117603,37735745.022,64317,20637653.058000002
264,17.7912,36772,654218.0064,5254,93474.9648
2123,26.1783,72,1884.8376,24,628.2792
116,27.1629,771,20942.5959,11,298.7919
1159,18.1708,69,1253.7852,360,6541.488
1270,263.009,29072,7646197.648,22832,6005021.488
2165,28.2044,637,17966.2028,54,1523.0375999999999
1152,171.372,1790,306755.88,1041,178398.252
792,79.0312,150518,11895618.1616,3516,277873.6992
1979,51.6033,3606,186081.4998,739,38134.8387
2185,56.1164,0,0.0,27,1515.1428

weighted_avg,NA,NA,209074748.93371004,NA,55599868.851399995
weighted_%,NA,NA,0.7899312396606853,NA,0.21006876033931468
weighted_total,264674617.78511003
