Simpoints,Weight,ICACHE_UNUSEFUL_CL_CYC_val,ICACHE_UNUSEFUL_CL_CYC_w_val
2264,44.9546,196054777,8813564078.124199
812,334.908,164320477,55032242311.116005
1358,97.2156,300283736,29192263565.481598
1778,40.8635,350919821,14339812105.4335
828,45.4532,1639620737,74526009283.0084
2213,8.07837,46649040,376848205.26479995
1726,65.5195,5943255,389399095.97249997
2054,37.2896,319977369,11931828099.0624
1903,16.1097,26301827,423714542.4219
509,133.977,195741153,26224812455.481
1751,10.0901,0,0.0
62,40.4224,82656199,3341161938.4576
2151,40.7196,1506361518,61338438468.3528
239,98.774,35273150,3484070118.1
1893,44.3029,0,0.0
1305,111.513,402069641,44835991876.833
1673,34.2884,220069198,7545820688.7032
492,45.4197,255569726,11607900284.0022
2249,320.874,355481330,114064716282.42001
264,17.7912,458955350,8165366422.92
2123,26.1783,246357241,6449213762.0703
116,27.1629,860484362,23373250676.5698
1159,18.1708,391042240,7105550334.592
1270,263.009,640403187,168431801809.683
2165,28.2044,2771396,78165561.3424
1152,171.372,202491062,34701298277.064
792,79.0312,40879591,3230763132.2392
1979,51.6033,158781589,8193653971.6437
2185,56.1164,1583542886,88862726007.9304

weighted_avg,NA,NA,816060383354.2899
weighted_%,NA,NA,1.0
weighted_total,816060383354.2899
