Core, 0
Cumulative Cycles, 10171299            
Cumulative Instructions, 20266024            
Cumulative IPC, 1.99247
Periodic Cycles, 4632630             
Periodic Instructions, 10061513            
Periodic IPC, 2.17188

BTB_ON_PATH_MISS_count,        473631
BTB_ON_PATH_MISS_pct,       21.167
BTB_ON_PATH_MISS_total_count,       1111532
BTB_ON_PATH_MISS_total_pct,       24.082

BTB_ON_PATH_HIT_count,       1763916
BTB_ON_PATH_HIT_pct,       78.833
BTB_ON_PATH_HIT_total_count,       3504094
BTB_ON_PATH_HIT_total_pct,       75.918
BTB_ON_PATH_HIT_sum_count,       2237547
BTB_ON_PATH_HIT_sum_pct,      100.000
BTB_ON_PATH_HIT_sum_total_count,       4615626
BTB_ON_PATH_HIT_sum_total_pct,      100.000
BTB_ON_PATH_HIT_mean,         0.79
BTB_ON_PATH_HIT_stddev,         0.72
BTB_ON_PATH_HIT_total_mean,         0.76
BTB_ON_PATH_HIT_total_stddev,         0.69

BTB_OFF_PATH_MISS_count,        315837
BTB_OFF_PATH_MISS_pct,       25.804
BTB_OFF_PATH_MISS_total_count,        883495
BTB_OFF_PATH_MISS_total_pct,       27.677

BTB_OFF_PATH_HIT_count,        908147
BTB_OFF_PATH_HIT_pct,       74.196
BTB_OFF_PATH_HIT_total_count,       2308659
BTB_OFF_PATH_HIT_total_pct,       72.323
BTB_OFF_PATH_HIT_sum_count,       1223984
BTB_OFF_PATH_HIT_sum_pct,      100.000
BTB_OFF_PATH_HIT_sum_total_count,       3192154
BTB_OFF_PATH_HIT_sum_total_pct,      100.000
BTB_OFF_PATH_HIT_mean,         0.74
BTB_OFF_PATH_HIT_stddev,         0.68
BTB_OFF_PATH_HIT_total_mean,         0.72
BTB_OFF_PATH_HIT_total_stddev,         0.66

BTB_ON_PATH_WRITE_count,         84492
BTB_ON_PATH_WRITE_pct,       94.762
BTB_ON_PATH_WRITE_total_count,        201101
BTB_ON_PATH_WRITE_total_pct,       94.625

BTB_OFF_PATH_WRITE_count,          4670
BTB_OFF_PATH_WRITE_pct,        5.238
BTB_OFF_PATH_WRITE_total_count,         11423
BTB_OFF_PATH_WRITE_total_pct,        5.375
BTB_OFF_PATH_WRITE_sum_count,         89162
BTB_OFF_PATH_WRITE_sum_pct,      100.000
BTB_OFF_PATH_WRITE_sum_total_count,        212524
BTB_OFF_PATH_WRITE_sum_total_pct,      100.000
BTB_OFF_PATH_WRITE_mean,         0.05
BTB_OFF_PATH_WRITE_stddev,         0.22
BTB_OFF_PATH_WRITE_total_mean,         0.05
BTB_OFF_PATH_WRITE_total_stddev,         0.22

BP_ON_PATH_CORRECT_count,       2201406
BP_ON_PATH_CORRECT_pct,       98.385
BP_ON_PATH_CORRECT_total_count,       4510504
BP_ON_PATH_CORRECT_total_pct,       97.722

BP_ON_PATH_MISPREDICT_count,         33496
BP_ON_PATH_MISPREDICT_pct,        1.497
BP_ON_PATH_MISPREDICT_total_count,        100483
BP_ON_PATH_MISPREDICT_total_pct,        2.177

BP_ON_PATH_MISFETCH_count,          2645
BP_ON_PATH_MISFETCH_pct,        0.118
BP_ON_PATH_MISFETCH_total_count,          4639
BP_ON_PATH_MISFETCH_total_pct,        0.101
BP_ON_PATH_MISFETCH_sum_count,       2237547
BP_ON_PATH_MISFETCH_sum_pct,      100.000
BP_ON_PATH_MISFETCH_sum_total_count,       4615626
BP_ON_PATH_MISFETCH_sum_total_pct,      100.000
BP_ON_PATH_MISFETCH_mean,         0.02
BP_ON_PATH_MISFETCH_stddev,         0.14
BP_ON_PATH_MISFETCH_total_mean,         0.02
BP_ON_PATH_MISFETCH_total_stddev,         0.16

BP_OFF_PATH_CORRECT_count,       1203729
BP_OFF_PATH_CORRECT_pct,       98.345
BP_OFF_PATH_CORRECT_total_count,       3150137
BP_OFF_PATH_CORRECT_total_pct,       98.684

BP_OFF_PATH_MISPREDICT_count,         13586
BP_OFF_PATH_MISPREDICT_pct,        1.110
BP_OFF_PATH_MISPREDICT_total_count,         32794
BP_OFF_PATH_MISPREDICT_total_pct,        1.027

BP_OFF_PATH_MISFETCH_count,          6669
BP_OFF_PATH_MISFETCH_pct,        0.545
BP_OFF_PATH_MISFETCH_total_count,          9223
BP_OFF_PATH_MISFETCH_total_pct,        0.289
BP_OFF_PATH_MISFETCH_sum_count,       1223984
BP_OFF_PATH_MISFETCH_sum_pct,      100.000
BP_OFF_PATH_MISFETCH_sum_total_count,       3192154
BP_OFF_PATH_MISFETCH_sum_total_pct,      100.000
BP_OFF_PATH_MISFETCH_mean,         0.02
BP_OFF_PATH_MISFETCH_stddev,         0.18
BP_OFF_PATH_MISFETCH_total_mean,         0.02
BP_OFF_PATH_MISFETCH_total_stddev,         0.15

LATE_BP_ON_PATH_CORRECT_count,       2237547
LATE_BP_ON_PATH_CORRECT_pct,      100.000
LATE_BP_ON_PATH_CORRECT_total_count,       4615626
LATE_BP_ON_PATH_CORRECT_total_pct,      100.000

LATE_BP_ON_PATH_MISPREDICT_count,             0
LATE_BP_ON_PATH_MISPREDICT_pct,        0.000
LATE_BP_ON_PATH_MISPREDICT_total_count,             0
LATE_BP_ON_PATH_MISPREDICT_total_pct,        0.000

LATE_BP_ON_PATH_MISFETCH_count,             0
LATE_BP_ON_PATH_MISFETCH_pct,        0.000
LATE_BP_ON_PATH_MISFETCH_total_count,             0
LATE_BP_ON_PATH_MISFETCH_total_pct,        0.000
LATE_BP_ON_PATH_MISFETCH_sum_count,       2237547
LATE_BP_ON_PATH_MISFETCH_sum_pct,      100.000
LATE_BP_ON_PATH_MISFETCH_sum_total_count,       4615626
LATE_BP_ON_PATH_MISFETCH_sum_total_pct,      100.000
LATE_BP_ON_PATH_MISFETCH_mean,         0.00
LATE_BP_ON_PATH_MISFETCH_stddev,         0.00
LATE_BP_ON_PATH_MISFETCH_total_mean,         0.00
LATE_BP_ON_PATH_MISFETCH_total_stddev,         0.00

LATE_BP_OFF_PATH_CORRECT_count,       1223984
LATE_BP_OFF_PATH_CORRECT_pct,      100.000
LATE_BP_OFF_PATH_CORRECT_total_count,       3192154
LATE_BP_OFF_PATH_CORRECT_total_pct,      100.000

LATE_BP_OFF_PATH_MISPREDICT_count,             0
LATE_BP_OFF_PATH_MISPREDICT_pct,        0.000
LATE_BP_OFF_PATH_MISPREDICT_total_count,             0
LATE_BP_OFF_PATH_MISPREDICT_total_pct,        0.000

LATE_BP_OFF_PATH_MISFETCH_count,             0
LATE_BP_OFF_PATH_MISFETCH_pct,        0.000
LATE_BP_OFF_PATH_MISFETCH_total_count,             0
LATE_BP_OFF_PATH_MISFETCH_total_pct,        0.000
LATE_BP_OFF_PATH_MISFETCH_sum_count,       1223984
LATE_BP_OFF_PATH_MISFETCH_sum_pct,      100.000
LATE_BP_OFF_PATH_MISFETCH_sum_total_count,       3192154
LATE_BP_OFF_PATH_MISFETCH_sum_total_pct,      100.000
LATE_BP_OFF_PATH_MISFETCH_mean,         0.00
LATE_BP_OFF_PATH_MISFETCH_stddev,         0.00
LATE_BP_OFF_PATH_MISFETCH_total_mean,         0.00
LATE_BP_OFF_PATH_MISFETCH_total_stddev,         0.00

BP_ON_PATH_CONF_PVN_count,             0
BP_ON_PATH_CONF_PVN_pct,         -nan
BP_ON_PATH_CONF_PVN_total_count,             0
BP_ON_PATH_CONF_PVN_total_pct,         -nan

BP_ON_PATH_CONF_PVN_BOT_count,             0
BP_ON_PATH_CONF_PVN_BOT_pct,         -nan
BP_ON_PATH_CONF_PVN_BOT_total_count,             0
BP_ON_PATH_CONF_PVN_BOT_total_pct,         -nan
BP_ON_PATH_CONF_PVN_BOT_sum_count,             0
BP_ON_PATH_CONF_PVN_BOT_sum_pct,         -nan
BP_ON_PATH_CONF_PVN_BOT_sum_total_count,             0
BP_ON_PATH_CONF_PVN_BOT_sum_total_pct,         -nan
BP_ON_PATH_CONF_PVN_BOT_mean,         -nan
BP_ON_PATH_CONF_PVN_BOT_stddev,         -nan
