Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
2766,217.447,4560,991558.3200000001,458,99590.726
2298,16.1495,0,0.0,0,0.0
2235,73.9095,21,1552.0994999999998,46,3399.8369999999995
562,151.883,1643,249543.76900000003,812,123328.99600000001
2322,74.3347,24,1784.0328,18,1338.0246
533,77.6496,848,65846.86080000001,1135,88132.296
655,136.191,70,9533.37,169,23016.279
414,208.958,7668,1602289.944,5743,1200045.794
253,149.505,9065,1355262.825,1033,154438.665
853,129.616,54,6999.264000000001,84,10887.744
907,262.418,1669,437975.642,668,175295.22400000002
1114,12.9007,19,245.1133,3,38.7021
939,1055.11,15795,16665462.45,7227,7625279.97
2606,11.2554,33,371.4282,67,754.1118
2837,150.956,5528,834484.7679999999,1022,154277.03199999998
1793,150.359,22,3307.898,97,14584.823
1046,85.9267,9891,849900.9896999999,909,78107.3703
554,46.3771,346,16046.4766,189,8765.2719
1970,47.9169,5264,252234.5616,436,20891.7684

weighted_avg,NA,NA,23344399.812499996,NA,9782172.635100001
weighted_%,NA,NA,0.7047031457729724,NA,0.29529685422702745
weighted_total,33126572.4476
