Simpoints,Weight,ICACHE_HIT_val,ICACHE_HIT_w_val,ICACHE_MISS_val,ICACHE_MISS_w_val
2766,217.447,1798338,391043203.086,3326,723228.7220000001
2298,16.1495,1296014,20929978.093,0,0.0
2235,73.9095,1694896,125268915.91199999,73,5395.393499999999
562,151.883,1463581,222293073.023,2184,331712.472
2322,74.3347,1563004,116185433.43879999,47,3493.7309
533,77.6496,2359015,183176571.14400002,1825,141710.52000000002
655,136.191,1250726,170337624.666,241,32822.031
414,208.958,1903940,397843494.52,12233,2556183.214
253,149.505,1604720,239913663.6,7475,1117549.875
853,129.616,2474853,320780546.448,148,19183.168
907,262.418,2106153,552692457.954,2082,546354.2760000001
1114,12.9007,471776,6086240.6432,23,296.7161
939,1055.11,2088383,2203473787.1299996,21593,22782990.229999997
2606,11.2554,1288291,14500230.521399999,111,1249.3494
2837,150.956,1653409,249592009.00399998,5798,875242.8879999999
1793,150.359,1989203,299094573.87700003,136,20448.824
1046,85.9267,1300356,111735299.90519999,8100,696006.27
554,46.3771,1754293,81359021.89029999,478,22168.2538
1970,47.9169,977477,46837667.661299996,5020,240542.838

weighted_avg,NA,NA,5753143792.517199,NA,30116578.7717
weighted_%,NA,NA,0.9947924567046619,NA,0.005207543295338094
weighted_total,5783260371.288898
