Simpoints,Weight,FDIP_AVG_FTQ_OCCUPANCY_val,FDIP_AVG_FTQ_OCCUPANCY_w_val
2766,217.447,41,8915.327
2298,16.1495,46,742.877
2235,73.9095,47,3473.7464999999997
562,151.883,35,5315.905000000001
2322,74.3347,43,3196.3921
533,77.6496,41,3183.6336
655,136.191,45,6128.595
414,208.958,34,7104.572
253,149.505,39,5830.695
853,129.616,43,5573.488
907,262.418,30,7872.54
1114,12.9007,43,554.7301
939,1055.11,29,30598.19
2606,11.2554,48,540.2592
2837,150.956,38,5736.3279999999995
1793,150.359,45,6766.155000000001
1046,85.9267,42,3608.9213999999997
554,46.3771,38,1762.3298
1970,47.9169,48,2300.0112

weighted_avg,NA,NA,109204.6959
weighted_%,NA,NA,1.0
weighted_total,109204.6959
