Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2766,217.447,30183,6563202.801,0,0.0
2298,16.1495,0,0.0,0,0.0
2235,73.9095,4164,307759.158,0,0.0
562,151.883,26230,3983891.0900000003,0,0.0
2322,74.3347,2753,204643.4291,0,0.0
533,77.6496,59782,4642048.387200001,0,0.0
655,136.191,12660,1724178.06,0,0.0
414,208.958,263747,55112045.626,0,0.0
253,149.505,67732,10126272.66,0,0.0
853,129.616,5448,706147.9680000001,0,0.0
907,262.418,16967,4452446.206,0,0.0
1114,12.9007,956,12333.0692,0,0.0
939,1055.11,327409,345452509.98999995,0,0.0
2606,11.2554,4161,46833.7194,0,0.0
2837,150.956,46865,7074552.9399999995,0,0.0
1793,150.359,5004,752396.436,0,0.0
1046,85.9267,49757,4275454.8119,0,0.0
554,46.3771,6157,285543.8047,0,0.0
1970,47.9169,333776,15993511.214399999,0,0.0

weighted_avg,NA,NA,461715771.3709,NA,0.0
weighted_%,NA,NA,1.0,NA,0.0
weighted_total,461715771.3709
