Simpoints,Weight,ICACHE_FIRST_MISS_AFTER_WARMUP_NO_PREF_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NO_PREF_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_UNUSEFUL_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_UNUSEFUL_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_USEFUL_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_USEFUL_DURING_WARMUP_w_val
2766,217.447,0,0.0,0,0.0,6,1304.682
2298,16.1495,0,0.0,0,0.0,0,0.0
2235,73.9095,0,0.0,0,0.0,0,0.0
562,151.883,0,0.0,0,0.0,28,4252.724
2322,74.3347,0,0.0,0,0.0,3,223.0041
533,77.6496,0,0.0,0,0.0,49,3804.8304000000003
655,136.191,0,0.0,0,0.0,6,817.146
414,208.958,0,0.0,0,0.0,224,46806.592
253,149.505,0,0.0,0,0.0,1,149.505
853,129.616,0,0.0,0,0.0,5,648.08
907,262.418,0,0.0,0,0.0,2,524.836
1114,12.9007,0,0.0,0,0.0,0,0.0
939,1055.11,0,0.0,0,0.0,98,103400.77999999998
2606,11.2554,1,11.2554,0,0.0,0,0.0
2837,150.956,0,0.0,0,0.0,2,301.912
1793,150.359,1,150.359,0,0.0,4,601.436
1046,85.9267,0,0.0,0,0.0,20,1718.5339999999999
554,46.3771,0,0.0,0,0.0,3,139.1313
1970,47.9169,0,0.0,0,0.0,0,0.0

weighted_avg,NA,NA,161.61440000000002,NA,0.0,NA,164693.1928
weighted_%,NA,NA,0.0009803438719498865,NA,0.0,NA,0.9990196561280502
weighted_total,164854.80719999998
