Simpoints,Weight,ICACHE_MISS_NOT_PREFETCHED_val,ICACHE_MISS_NOT_PREFETCHED_w_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_w_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_w_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_w_val
2766,217.447,0,0.0,0,0.0,0,0.0,284,61754.948000000004,3007,653863.129
2298,16.1495,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2235,73.9095,0,0.0,0,0.0,0,0.0,40,2956.3799999999997,38,2808.5609999999997
562,151.883,0,0.0,0,0.0,0,0.0,567,86117.66100000001,1516,230254.62800000003
2322,74.3347,0,0.0,0,0.0,0,0.0,17,1263.6898999999999,30,2230.041
533,77.6496,0,0.0,0,0.0,0,0.0,831,64526.8176,917,71204.6832
655,136.191,0,0.0,0,0.0,0,0.0,126,17160.066,104,14163.864
414,208.958,76,15880.807999999999,0,0.0,0,0.0,3991,833951.378,7921,1655156.318
253,149.505,0,0.0,0,0.0,0,0.0,455,68024.775,3598,537918.99
853,129.616,0,0.0,0,0.0,0,0.0,75,9721.2,73,9461.968
907,262.418,0,0.0,0,0.0,0,0.0,486,127535.148,1525,400187.45
1114,12.9007,0,0.0,0,0.0,0,0.0,2,25.8014,16,206.4112
939,1055.11,1,1055.11,0,0.0,0,0.0,4970,5243896.699999999,16007,16889145.77
2606,11.2554,1,11.2554,0,0.0,0,0.0,68,765.3672,43,483.9822
2837,150.956,0,0.0,0,0.0,0,0.0,783,118198.548,4803,725041.668
1793,150.359,2,300.718,0,0.0,0,0.0,99,14885.541000000001,43,6465.437000000001
1046,85.9267,0,0.0,0,0.0,0,0.0,347,29816.564899999998,2314,198834.38379999998
554,46.3771,0,0.0,0,0.0,0,0.0,115,5333.3665,316,14655.1636
1970,47.9169,221,10589.6349,0,0.0,0,0.0,354,16962.582599999998,3601,172548.7569

weighted_avg,NA,NA,27837.526299999998,NA,0.0,NA,0.0,NA,6702896.5351,NA,21584631.204900004
weighted_%,NA,NA,0.000983124393353007,NA,0.0,NA,0.0,NA,0.23672294078005635,NA,0.7622939348265907
weighted_total,28315365.266300004
