Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_val,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_w_val
2766,217.447,0,0.0,0,0.0,0,0.0,420,91327.74,141370,30740482.39
2298,16.1495,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2235,73.9095,0,0.0,0,0.0,0,0.0,2650,195860.175,23625,1746111.9374999998
562,151.883,0,0.0,0,0.0,0,0.0,2420,367556.86000000004,158830,24123576.89
2322,74.3347,0,0.0,0,0.0,0,0.0,0,0.0,15205,1130259.1135
533,77.6496,0,0.0,0,0.0,0,0.0,26505,2058102.6480000003,482055,37431377.928
655,136.191,0,0.0,0,0.0,0,0.0,4140,563830.74,87455,11910583.905
414,208.958,6145,1284046.91,0,0.0,0,0.0,38105,7962344.59,1847740,386100054.92
253,149.505,0,0.0,0,0.0,0,0.0,6940,1037564.7,351680,52577918.4
853,129.616,0,0.0,0,0.0,0,0.0,2000,259232.00000000003,39040,5060208.640000001
907,262.418,0,0.0,0,0.0,0,0.0,3975,1043111.55,98120,25748454.16
1114,12.9007,0,0.0,0,0.0,0,0.0,0,0.0,5545,71534.3815
939,1055.11,65,68582.15,0,0.0,0,0.0,34205,36090037.55,2213970,2335981886.7
2606,11.2554,1025,11536.785,0,0.0,0,0.0,1805,20315.997,37645,423709.533
2837,150.956,0,0.0,0,0.0,0,0.0,4850,732136.6,259740,39209311.44
1793,150.359,1005,151110.795,0,0.0,0,0.0,0,0.0,52185,7846484.415
1046,85.9267,0,0.0,0,0.0,0,0.0,3585,308047.2195,260560,22389060.952
554,46.3771,0,0.0,0,0.0,0,0.0,2295,106435.4445,49625,2301463.5875
1970,47.9169,22930,1098734.517,0,0.0,0,0.0,51510,2468199.519,1806225,86548702.7025

weighted_avg,NA,NA,2614011.1569999997,NA,0.0,NA,0.0,NA,53304103.333,NA,3071341181.9954996
weighted_%,NA,NA,0.0008358792505430227,NA,0.0,NA,0.0,NA,0.01704498996706305,NA,0.982119130782394
weighted_total,3127259296.4854994
