Simpoints,Weight,FDIP_NEW_PREFETCHES_ONPATH_val,FDIP_NEW_PREFETCHES_ONPATH_w_val,FDIP_NEW_PREFETCHES_OFFPATH_val,FDIP_NEW_PREFETCHES_OFFPATH_w_val
2766,217.447,95541,20775103.827,17718,3852725.946
2298,16.1495,0,0.0,0,0.0
2235,73.9095,40,2956.3799999999997,269,19881.655499999997
562,151.883,14034,2131526.0220000003,7403,1124389.8490000002
2322,74.3347,39,2899.0533,111,8251.1517
533,77.6496,1573,122142.82080000002,6153,477777.98880000005
655,136.191,116,15798.156,804,109497.564
414,208.958,62819,13126532.602,74960,15663491.68
253,149.505,112844,16870742.22,21049,3146930.745
853,129.616,78,10110.048,337,43680.592000000004
907,262.418,9189,2411359.002,6035,1583692.6300000001
1114,12.9007,778,10036.7446,69,890.1483000000001
939,1055.11,142563,150419646.92999998,131664,138920003.04
2606,11.2554,48,540.2592,365,4108.221
2837,150.956,129899,19609033.444,23992,3621736.352
1793,150.359,30,4510.77,307,46160.213
1046,85.9267,93397,8025295.999899999,12892,1107767.0163999998
554,46.3771,1678,77820.7738,1282,59455.4422
1970,47.9169,6629,317641.1301,776,37183.5144

weighted_avg,NA,NA,233933696.1827,NA,169827623.7493
weighted_%,NA,NA,0.5793860992481852,NA,0.42061390075181476
weighted_total,403761319.93200004
