Simpoints,Weight,ST_OP_CF_val,ST_OP_CF_w_val
2766,217.447,19.346,4206.729662
2298,16.1495,15.482,250.026559
2235,73.9095,16.155,1194.0079725
562,151.883,18.539,2815.7589370000005
2322,74.3347,20.564,1528.6187708
533,77.6496,18.495,1436.1293520000002
655,136.191,15.205,2070.784155
414,208.958,16.721,3493.986718
253,149.505,18.195,2720.2434749999998
853,129.616,19.125,2478.9060000000004
907,262.418,16.999,4460.8435819999995
1114,12.9007,20.024,258.3236168
939,1055.11,16.672,17590.79392
2606,11.2554,21.921,246.72962339999998
2837,150.956,15.912,2402.011872
1793,150.359,19.403,2917.415677
1046,85.9267,17.584,1510.9350928
554,46.3771,17.699,820.8282929000001
1970,47.9169,24.874,1191.8849705999999

weighted_avg,NA,NA,53594.958248799994
weighted_%,NA,NA,1.0
weighted_total,53594.958248799994
