Simpoints,Weight,NODE_CYCLE_val,NODE_CYCLE_w_val
2766,217.447,4095113,890470036.511
2298,16.1495,2878184,46481232.508
2235,73.9095,12401145,916562426.3774999
562,151.883,3922286,595728564.538
2322,74.3347,4292058,319048843.8126
533,77.6496,9325220,724099602.9120001
655,136.191,4309182,586871805.762
414,208.958,4668715,975565348.97
253,149.505,5042501,753879112.005
853,129.616,12791196,1657943660.736
907,262.418,5273313,1383812250.834
1114,12.9007,7850570,101277848.399
939,1055.11,4757269,5019442094.589999
2606,11.2554,48693899,548069310.8046
2837,150.956,4603787,694969270.372
1793,150.359,18280633,2748657697.247
1046,85.9267,4228362,363329193.0654
554,46.3771,3762966,174515450.4786
1970,47.9169,76558163,3668429840.6547

weighted_avg,NA,NA,22169153590.5774
weighted_%,NA,NA,1.0
weighted_total,22169153590.5774
