Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
2766,217.447,121446045,26408078147.115
2298,16.1495,89521069,1445720503.8155
2235,73.9095,395857162,29257604914.838997
562,151.883,99232083,15071666462.289001
2322,74.3347,128911710,9582613289.337
533,77.6496,268191861,20824990729.9056
655,136.191,135544920,18459998199.72
414,208.958,121704000,25431024432.0
253,149.505,147581634,22064192191.17
853,129.616,395253488,51231176100.608
907,262.418,121871917,31981384715.306
1114,12.9007,234140268,3020573355.3876
939,1055.11,110445092,116531721020.12
2606,11.2554,1591219303,17909809742.9862
2837,150.956,127274225,19212807909.1
1793,150.359,573466608,86225865712.272
1046,85.9267,127419280,10948718246.776
554,46.3771,103322342,4791790587.1682
1970,47.9169,2512391640,120386018974.71599

weighted_avg,NA,NA,630785755234.631
weighted_%,NA,NA,1.0
weighted_total,630785755234.631
