Simpoints,Weight,FDIP_NEW_PREFETCHES_ONPATH_val,FDIP_NEW_PREFETCHES_ONPATH_w_val,FDIP_NEW_PREFETCHES_OFFPATH_val,FDIP_NEW_PREFETCHES_OFFPATH_w_val
2766,217.447,94424,20532215.528,15798,3435227.7060000002
2298,16.1495,0,0.0,0,0.0
2235,73.9095,28,2069.466,181,13377.619499999999
562,151.883,24654,3744523.4820000003,8219,1248326.377
2322,74.3347,2212,164428.3564,167,12413.8949
533,77.6496,1929,149786.0784,5257,408203.94720000005
655,136.191,340,46304.94,680,92609.88
414,208.958,70470,14725270.26,65589,13705346.262
253,149.505,131531,19664542.155,22339,3339792.195
853,129.616,62,8036.192000000001,269,34866.704000000005
907,262.418,9345,2452296.21,7012,1840075.016
1114,12.9007,6838,88214.9866,298,3844.4086
939,1055.11,164401,173461139.10999998,128912,136016340.32
2606,11.2554,40,450.216,270,3038.958
2837,150.956,131628,19870036.367999997,23423,3535842.388
1793,150.359,23,3458.257,257,38642.263
1046,85.9267,102805,8833694.3935,13138,1128904.9845999999
554,46.3771,1720,79768.612,1192,55281.5032
1970,47.9169,4897,234649.0593,581,27839.7189

weighted_avg,NA,NA,264060883.6702,NA,164939974.1459
weighted_%,NA,NA,0.6155253045750204,NA,0.3844746954249796
weighted_total,429000857.8161
