Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
2766,217.447,2241,487298.727,308,66973.676
2298,16.1495,0,0.0,0,0.0
2235,73.9095,27,1995.5565,43,3178.1085
562,151.883,1369,207927.82700000002,690,104799.27
2322,74.3347,34,2527.3797999999997,11,817.6817
533,77.6496,773,60023.14080000001,1010,78426.096
655,136.191,72,9805.752,152,20701.032
414,208.958,6891,1439929.578,5284,1104134.072
253,149.505,5731,856813.155,826,123491.12999999999
853,129.616,47,6091.952,99,12831.984000000002
907,262.418,1141,299418.938,601,157713.218
1114,12.9007,18,232.2126,6,77.4042
939,1055.11,14971,15796051.809999999,7064,7453297.039999999
2606,11.2554,32,360.1728,84,945.4535999999999
2837,150.956,3600,543441.6,732,110499.79199999999
1793,150.359,23,3458.257,113,16990.567000000003
1046,85.9267,6325,543486.3775,764,65647.9988
554,46.3771,247,11455.1437,152,7049.3192
1970,47.9169,3010,144229.869,299,14327.1531

weighted_avg,NA,NA,20414547.4487,NA,9341900.9961
weighted_%,NA,NA,0.6860545702075371,NA,0.31394542979246287
weighted_total,29756448.444799997
