Simpoints,Weight,ICACHE_MISS_NOT_PREFETCHED_val,ICACHE_MISS_NOT_PREFETCHED_w_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_w_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_w_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_w_val
2766,217.447,0,0.0,0,0.0,0,0.0,270,58710.69,2279,495561.713
2298,16.1495,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2235,73.9095,0,0.0,0,0.0,0,0.0,36,2660.7419999999997,34,2512.923
562,151.883,0,0.0,0,0.0,0,0.0,605,91889.21500000001,1454,220837.882
2322,74.3347,0,0.0,0,0.0,0,0.0,10,743.347,35,2601.7145
533,77.6496,28,2174.1888000000004,0,0.0,0,0.0,827,64216.21920000001,956,74233.0176
655,136.191,0,0.0,0,0.0,0,0.0,140,19066.74,84,11440.044
414,208.958,353,73762.174,0,0.0,0,0.0,4248,887653.584,7927,1656410.0659999999
253,149.505,0,0.0,0,0.0,0,0.0,624,93291.12,5933,887013.1649999999
853,129.616,0,0.0,0,0.0,0,0.0,82,10628.512,64,8295.424
907,262.418,0,0.0,0,0.0,0,0.0,497,130421.746,1245,326710.41000000003
1114,12.9007,0,0.0,0,0.0,0,0.0,6,77.4042,18,232.2126
939,1055.11,0,0.0,0,0.0,0,0.0,5538,5843199.18,16497,17406149.669999998
2606,11.2554,2,22.5108,0,0.0,0,0.0,72,810.3888,44,495.2376
2837,150.956,0,0.0,0,0.0,0,0.0,644,97215.66399999999,3688,556725.728
1793,150.359,43,6465.437000000001,0,0.0,0,0.0,93,13983.387,43,6465.437000000001
1046,85.9267,0,0.0,0,0.0,0,0.0,645,55422.7215,6444,553711.6548
554,46.3771,0,0.0,0,0.0,0,0.0,123,5704.3832999999995,276,12800.0796
1970,47.9169,214,10254.2166,0,0.0,0,0.0,245,11739.6405,3064,146817.3816

weighted_avg,NA,NA,92678.52720000001,NA,0.0,NA,0.0,NA,7387434.6844999995,NA,22369013.760299996
weighted_%,NA,NA,0.0031048990909160325,NA,0.0,NA,0.0,NA,0.24749248751662956,NA,0.7494026133924544
weighted_total,29849126.971999995
