Core, 0
Cumulative Cycles, 10435846            
Cumulative Instructions, 20201449            
Cumulative IPC, 1.93577
Periodic Cycles, 4754972             
Periodic Instructions, 10048262            
Periodic IPC, 2.11321

EXECUTION_TIME_count, 1485928750000
EXECUTION_TIME_total_count, 3261201875000

NODE_CYCLE_count,       4754972
NODE_CYCLE_total_count,      10435846

NODE_INST_COUNT_count,      10048262
NODE_INST_COUNT_total_count,      20201449

NODE_INST_COUNT_FETCHED_count,       9999997
NODE_INST_COUNT_FETCHED_total_count,      20000000

NODE_UOP_COUNT_count,      12787437
NODE_UOP_COUNT_total_count,      25722557

FULL_WINDOW_STALL_count,        321443
FULL_WINDOW_STALL_pct,        6.760
FULL_WINDOW_STALL_total_count,        866515
FULL_WINDOW_STALL_total_pct,        8.303

FULL_WINDOW_MEM_OP_count,        256833
FULL_WINDOW_MEM_OP_pct,       99.662
FULL_WINDOW_MEM_OP_total_count,        700598
FULL_WINDOW_MEM_OP_total_pct,       99.546

FULL_WINDOW_FP_OP_count,            13
FULL_WINDOW_FP_OP_pct,        0.005
FULL_WINDOW_FP_OP_total_count,            13
FULL_WINDOW_FP_OP_total_pct,        0.002

FULL_WINDOW_OTHER_OP_count,           858
FULL_WINDOW_OTHER_OP_pct,        0.333
FULL_WINDOW_OTHER_OP_total_count,          3179
FULL_WINDOW_OTHER_OP_total_pct,        0.452
FULL_WINDOW_OTHER_OP_sum_count,        257704
FULL_WINDOW_OTHER_OP_sum_pct,      100.000
FULL_WINDOW_OTHER_OP_sum_total_count,        703790
FULL_WINDOW_OTHER_OP_sum_total_pct,      100.000
FULL_WINDOW_OTHER_OP_mean,         0.01
FULL_WINDOW_OTHER_OP_stddev,         0.12
FULL_WINDOW_OTHER_OP_total_mean,         0.01
FULL_WINDOW_OTHER_OP_total_stddev,         0.13

RET_BLOCKED_DC_MISS_count,        783402
RET_BLOCKED_DC_MISS_pct,       16.475
RET_BLOCKED_DC_MISS_total_count,       1955246
RET_BLOCKED_DC_MISS_total_pct,       18.736

RET_BLOCKED_L1_MISS_count,        118297
RET_BLOCKED_L1_MISS_pct,        2.488
RET_BLOCKED_L1_MISS_total_count,        432506
RET_BLOCKED_L1_MISS_total_pct,        4.144

RET_BLOCKED_L1_MISS_BW_PREF_count,           433
RET_BLOCKED_L1_MISS_BW_PREF_pct,        0.009
RET_BLOCKED_L1_MISS_BW_PREF_total_count,          3406
RET_BLOCKED_L1_MISS_BW_PREF_total_pct,        0.033

RET_BLOCKED_L1_ACCESS_count,        666684
RET_BLOCKED_L1_ACCESS_pct,       14.021
RET_BLOCKED_L1_ACCESS_total_count,       1529453
RET_BLOCKED_L1_ACCESS_total_pct,       14.656

RET_BLOCKED_MEM_STALL_count,        118297
RET_BLOCKED_MEM_STALL_pct,        2.488
RET_BLOCKED_MEM_STALL_total_count,        432506
RET_BLOCKED_MEM_STALL_total_pct,        4.144

RET_BLOCKED_OFFCHIP_DEMAND_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_pct,        0.000
RET_BLOCKED_OFFCHIP_DEMAND_total_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_total_pct,        0.000

OP_ISSUED_count,      17773321
OP_ISSUED_total_count,      38553514

OP_RETIRED_count,      12787437
OP_RETIRED_total_count,      25722557

REPLAY_SIGNALED_count,             0
REPLAY_SIGNALED_total_count,             0

REPLAY_COUNTED_count,             0
REPLAY_COUNTED_total_count,             0

OFF_CRITICAL_PATH_count,             0
OFF_CRITICAL_PATH_pct,         -nan
OFF_CRITICAL_PATH_total_count,             0
OFF_CRITICAL_PATH_total_pct,         -nan

ON_CRITICAL_PATH_count,             0
ON_CRITICAL_PATH_pct,         -nan
ON_CRITICAL_PATH_total_count,             0
ON_CRITICAL_PATH_total_pct,         -nan
ON_CRITICAL_PATH_sum_count,             0
ON_CRITICAL_PATH_sum_pct,         -nan
ON_CRITICAL_PATH_sum_total_count,             0
ON_CRITICAL_PATH_sum_total_pct,         -nan
