Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
2766,217.447,1564271,340146036.137,340340,74005911.98
2298,16.1495,1276686,20617840.557,32738,528702.331
2235,73.9095,1555952,114999634.344,329447,24349263.046499997
562,151.883,1172974,178154810.04200003,891804,135449866.932
2322,74.3347,1461464,108637488.0008,266627,19819638.0569
533,77.6496,1549741,120336768.75360002,1663656,129182222.93760002
655,136.191,1190616,162151183.656,163024,22202401.584
414,208.958,1450148,303020025.784,1032039,215652805.362
253,149.505,1148398,171691242.99,580475,86783914.875
853,129.616,1843033,238886565.32800004,1251644,162233088.70400003
907,262.418,1412916,370774590.888,1762440,462495979.92
1114,12.9007,393377,5074838.6639,153560,1981031.492
939,1055.11,1273814,1344013889.54,1629511,1719313351.2099998
2606,11.2554,1581976,17805772.6704,181018,2037429.9971999999
2837,150.956,1266648,191208115.48799998,713589,107720541.08399999
1793,150.359,1485544,223364910.296,1099973,165390840.307
1046,85.9267,1108286,95231358.6362,272587,23422501.372899998
554,46.3771,1366050,63353437.455,798169,37016763.5299
1970,47.9169,1332236,63836619.1884,31080,1489257.2519999999

weighted_avg,NA,NA,4133305128.4182997,NA,3391075511.974
weighted_%,NA,NA,0.5493216420006632,NA,0.4506783579993368
weighted_total,7524380640.3923
