Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
2766,217.447,94441,20535912.127,27040,5879766.88
2298,16.1495,0,0.0,0,0.0
2235,73.9095,24,1773.828,486,35920.017
562,151.883,19786,3005157.038,14458,2195924.4140000003
2322,74.3347,664,49358.2408,87,6467.1188999999995
533,77.6496,2059,159880.5264,10842,841876.9632000001
655,136.191,604,82259.364,1465,199519.815
414,208.958,69589,14541178.262,113749,23768763.542
253,149.505,114558,17126993.79,38559,5764763.295
853,129.616,79,10239.664,519,67270.70400000001
907,262.418,9648,2531808.864,13761,3611134.098
1114,12.9007,11274,145442.49180000002,2648,34161.0536
939,1055.11,163313,172313179.42999998,196441,207266863.51
2606,11.2554,21,236.36339999999998,292,3286.5768
2837,150.956,129615,19566161.939999998,51335,7749326.26
1793,150.359,39,5864.001,805,121038.99500000001
1046,85.9267,91029,7821821.5742999995,23238,1996764.6546
554,46.3771,2533,117473.1943,3270,151653.117
1970,47.9169,2389,114473.47409999999,2048,98133.8112

weighted_avg,NA,NA,258129214.17309996,NA,259792634.82529998
weighted_%,NA,NA,0.49839413933258764,NA,0.5016058606674123
weighted_total,517921848.9984
