Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
2766,217.447,2649,576017.103,308,66973.676
2298,16.1495,0,0.0,0,0.0
2235,73.9095,33,2439.0135,33,2439.0135
562,151.883,1504,228432.032,541,82168.70300000001
2322,74.3347,35,2601.7145,13,966.3511
533,77.6496,1002,77804.8992,766,59479.59360000001
655,136.191,59,8035.269,126,17160.066
414,208.958,7670,1602707.86,4201,877832.558
253,149.505,6050,904505.25,553,82676.265
853,129.616,72,9332.352,75,9721.2
907,262.418,1288,337994.384,445,116776.01000000001
1114,12.9007,36,464.4252,7,90.3049
939,1055.11,15946,16824784.06,5165,5449643.149999999
2606,11.2554,41,461.4714,65,731.601
2837,150.956,3875,584954.5,567,85592.052
1793,150.359,42,6315.078,111,16689.849000000002
1046,85.9267,6523,560499.8641,586,50353.0462
554,46.3771,334,15489.9514,118,5472.4978
1970,47.9169,3380,161959.122,212,10158.3828

weighted_avg,NA,NA,21904798.349300005,NA,6934924.3199
weighted_%,NA,NA,0.7595356793320936,NA,0.2404643206679064
weighted_total,28839722.669200003
