Simpoints,Weight,ICACHE_UNUSEFUL_CL_CYC_val,ICACHE_UNUSEFUL_CL_CYC_w_val
2766,217.447,468884580,101957545267.26
2298,16.1495,0,0.0
2235,73.9095,2156755951,159404753960.43448
562,151.883,513817734,78040178893.12201
2322,74.3347,209060106,15540420261.478199
533,77.6496,1787468354,138796202700.75842
655,136.191,819364614,111590086145.274
414,208.958,1040840688,217491988483.104
253,149.505,483860526,72339567939.63
853,129.616,2201197422,285310405049.952
907,262.418,431675773,113279492999.114
1114,12.9007,383836443,4951758800.2101
939,1055.11,864254478,911883542282.58
2606,11.2554,2830657797,31860185768.353798
2837,150.956,388428895,58635672273.619995
1793,150.359,3857020287,579937713333.0331
1046,85.9267,354609767,30470447066.0789
554,46.3771,430643633,19972002832.0043
1970,47.9169,6378279184,305627365831.8096

weighted_avg,NA,NA,3237089329887.818
weighted_%,NA,NA,1.0
weighted_total,3237089329887.818
