Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2766,217.447,126440,27493998.68
2298,16.1495,0,0.0
2235,73.9095,30850,2280108.0749999997
562,151.883,176595,26821778.385
2322,74.3347,9095,676074.0965
533,77.6496,606245,47074681.752000004
655,136.191,68985,9395136.135
414,208.958,2121810,443369173.98
253,149.505,428765,64102511.324999996
853,129.616,55070,7137953.120000001
907,262.418,92295,24219869.310000002
1114,12.9007,4230,54569.961
939,1055.11,2426440,2560161108.3999996
2606,11.2554,54095,608860.863
2837,150.956,212910,32140041.959999997
1793,150.359,80935,12169305.665000001
1046,85.9267,388010,33340418.867
554,46.3771,54295,2518044.6445
1970,47.9169,2362495,113203436.6655

weighted_avg,NA,NA,3406767071.8844995
weighted_%,NA,NA,1.0
weighted_total,3406767071.8844995
