Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2766,217.447,2526,549271.122,0,0.0
2298,16.1495,0,0.0,0,0.0
2235,73.9095,27,1995.5565,0,0.0
562,151.883,1404,213243.73200000002,0,0.0
2322,74.3347,25,1858.3674999999998,0,0.0
533,77.6496,684,53112.326400000005,0,0.0
655,136.191,79,10759.089,0,0.0
414,208.958,5472,1143418.176,0,0.0
253,149.505,6609,988078.5449999999,0,0.0
853,129.616,51,6610.416000000001,0,0.0
907,262.418,1378,361612.004,0,0.0
1114,12.9007,20,258.014,0,0.0
939,1055.11,11602,12241386.219999999,0,0.0
2606,11.2554,29,326.40659999999997,0,0.0
2837,150.956,4125,622693.5,0,0.0
1793,150.359,24,3608.616,0,0.0
1046,85.9267,7273,624944.8891,0,0.0
554,46.3771,258,11965.291799999999,0,0.0
1970,47.9169,4313,206665.58969999998,0,0.0

weighted_avg,NA,NA,17041807.861599997,NA,0.0
weighted_%,NA,NA,1.0,NA,0.0
weighted_total,17041807.861599997
