Simpoints,Weight,ICACHE_MISS_NOT_PREFETCHED_val,ICACHE_MISS_NOT_PREFETCHED_w_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_w_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_w_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_w_val
2766,217.447,0,0.0,0,0.0,0,0.0,231,50230.257,2599,565144.753
2298,16.1495,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2235,73.9095,0,0.0,0,0.0,0,0.0,37,2734.6515,36,2660.7419999999997
562,151.883,0,0.0,0,0.0,0,0.0,604,91737.33200000001,1580,239975.14
2322,74.3347,0,0.0,0,0.0,0,0.0,18,1338.0246,29,2155.7063
533,77.6496,1,77.6496,0,0.0,0,0.0,828,64293.868800000004,978,75941.30880000001
655,136.191,0,0.0,0,0.0,0,0.0,137,18658.167,104,14163.864
414,208.958,132,27582.456,0,0.0,0,0.0,4059,848160.522,7131,1490079.498
253,149.505,0,0.0,0,0.0,0,0.0,652,97477.26,6809,1017979.5449999999
853,129.616,0,0.0,0,0.0,0,0.0,77,9980.432,72,9332.352
907,262.418,0,0.0,0,0.0,0,0.0,487,127797.566,1578,414095.604
1114,12.9007,0,0.0,0,0.0,0,0.0,2,25.8014,21,270.91470000000004
939,1055.11,0,0.0,0,0.0,0,0.0,4839,5105677.289999999,13975,14745162.249999998
2606,11.2554,1,11.2554,0,0.0,0,0.0,66,742.8564,44,495.2376
2837,150.956,0,0.0,0,0.0,0,0.0,779,117594.72399999999,4862,733948.0719999999
1793,150.359,1,150.359,0,0.0,0,0.0,89,13381.951000000001,46,6916.514
1046,85.9267,0,0.0,0,0.0,0,0.0,645,55422.7215,7428,638263.5276
554,46.3771,0,0.0,0,0.0,0,0.0,122,5658.0062,324,15026.1804
1970,47.9169,246,11787.5574,0,0.0,0,0.0,356,17058.4164,4396,210642.6924

weighted_avg,NA,NA,39609.2774,NA,0.0,NA,0.0,NA,6627969.847800001,NA,20182253.9018
weighted_%,NA,NA,0.0014752150361668616,NA,0.0,NA,0.0,NA,0.24685329853392243,NA,0.7516714864299108
weighted_total,26849833.027
